sample,nr,dr,df,rf,avg_prey,std_prey,avg_predators,std_predators
0,740,0.5,0.075,0.5,134.84,36.8793,143.84,37.4517,0.182216
1,260,0.95,0.025,0.35,104.72,19.0698,65.86,5.41045,0.402769
2,560,0.9,0.1,0.3,525.56,12.6013,9,3.5609,0.9385
3,500,0.85,0.2,0.45,500,0,0,0,1
4,440,0.75,0.175,0.25,440,0,0,0,1
5,320,0.55,0.125,0.7,211.84,4.59489,60.74,12.7223,0.662
6,200,0.65,0.05,0.6,83.38,13.0187,67.52,3.44775,0.4169
7,680,0.6,0,0.4,0,0,626.92,8.43457,0
8,620,0.8,0.225,0.65,508.74,57.3239,23.96,10.2758,0.820548
9,380,0.7,0.15,0.55,362.34,12.8492,9,7.13127,0.953526
