sample,nr,dr,df,rf,avg_prey,std_prey,avg_predators,std_predators,normalized_prey
0,432,0.8525,0.14625,0.35225,432,0,0,0,1
1,305,0.84175,0.170625,0.5055,305,0,0,0,1
2,655,0.60925,0.138,0.667,364.7,12.0208,83.2,0.565685,0.556794
3,598,0.5905,0.0425,0.54525,83.9,86.1256,22.7,8.6267,0.140301
4,314,0.92025,0.028375,0.29525,111,46.1034,55.8,7.35391,0.353503
5,609,0.9505,0.06575,0.55525,258.6,183.848,50,11.5966,0.424631
6,579,0.907,0.151875,0.488,524.5,77.0746,15.4,21.7789,0.905872
7,340,0.8575,0.03125,0.6155,42.3,48.2247,9.9,0.424264,0.124412
8,523,0.73825,0.07525,0.6205,259.6,2.26274,68.1,19.6576,0.496367
9,546,0.613,0.124375,0.62975,322.3,25.8801,81.6,3.9598,0.590293
10,219,0.94675,0.08925,0.57,219,0,0,0,1
11,219,0.54825,0.16925,0.6545,219,0,0,0,1
12,238,0.75,0.192375,0.3785,238,0,0,0,1
13,431,0.84725,0.05525,0.68575,135.4,99.8435,58.8,13.8593,0.314153
14,248,0.648,0.125375,0.2685,248,0,0,0,1
15,729,0.5175,0.208625,0.499,487.4,33.0926,74.5,19.0919,0.668587
16,511,0.766,0.14125,0.6315,403.2,33.0926,28.1,3.25269,0.789041
17,664,0.8805,0.24775,0.26125,664,0,0,0,1
18,476,0.90825,0.094375,0.5435,268.5,25.5973,53.9,6.08112,0.564076
19,466,0.65975,0.009,0.55675,0,0,9,1.41421,0
20,669,0.501,0.002,0.572,0,0,398.8,5.65685,0
21,254,0.79575,0.014,0.51875,0,0,0.3,0.424264,0
22,209,0.64775,0.11475,0.726,208.9,0.141421,0.5,0.707107,0.999522
23,481,0.643,0.112875,0.49025,305,6.50538,48.6,4.52548,0.634096
24,486,0.57675,0.24275,0.5765,486,0,0,0,1
25,412,0.94275,0.036375,0.69575,41.2,58.2656,0,0,0.1
26,400,0.54475,0.183625,0.328,400,0,0,0,1
27,292,0.75525,0.05425,0.4425,178.7,54.7301,37.4,13.5765,0.611986
28,650,0.948,0.17575,0.51125,588.2,31.6784,10.8,6.50538,0.904923
29,320,0.6095,0.048875,0.68975,90,66.7509,92.8,22.6274,0.28125
30,315,0.84325,0.153375,0.58875,315,0,0,0,1
31,252,0.5505,0.140875,0.282,252,0,0,0,1
32,723,0.81075,0.168625,0.4805,660.2,5.65685,10.3,0.707107,0.91314
33,233,0.78675,0.064,0.66825,114.1,5.79828,62.1,9.47523,0.4897
34,240,0.92575,0.104625,0.29225,240,0,0,0,1
35,469,0.9675,0.051625,0.692,116.4,30.2642,67.1,15.9806,0.248188
36,245,0.99225,0.03525,0.28,219.4,11.8794,13.9,4.10122,0.89551
37,461,0.72175,0.050375,0.31175,187.2,57.9828,82,6.78823,0.406074
38,536,0.698,0.168375,0.57825,411.7,2.96985,39,13.5765,0.768097
39,505,0.727,0.1235,0.29375,505,0,0,0,1
40,409,0.57175,0.20225,0.30825,409,0,0,0,1
41,595,0.75575,0.000875,0.74775,0,0,482.4,2.26274,0
42,481,0.6425,0.127,0.65775,309.8,52.8916,62.9,11.4551,0.644075
43,568,0.52775,0.23475,0.5675,513.1,25.0316,26.7,9.19239,0.903345
44,772,0.56225,0.098,0.69325,336.5,65.4781,72.2,25.4558,0.435881
45,699,0.762,0.117,0.48675,383.1,124.875,67.9,34.0825,0.548069
46,337,0.981,0.22975,0.3985,337,0,0,0,1
47,684,0.8785,0.20925,0.72875,609.2,12.4451,17.3,21.3546,0.890643
48,434,0.8605,0.147375,0.687,398.3,50.4874,12.1,17.112,0.917742
49,605,0.748,0.091875,0.62525,356.7,93.1967,55.3,15.9806,0.589587
50,786,0.77475,0.093875,0.586,299.7,69.7207,81.8,1.13137,0.381298
51,239,0.77575,0.109,0.58675,237.6,1.9799,1.4,1.9799,0.994142
52,348,0.564,0.178,0.283,348,0,0,0,1
53,636,0.84625,0.13275,0.59375,309.7,17.112,78,8.20244,0.48695
54,463,0.7935,0.0065,0.62225,0,0,21.5,2.12132,0
55,794,0.787,0.0415,0.6735,0,0,0,0,0
56,624,0.944,0.06225,0.40075,233,45.5377,81.4,12.4451,0.373397
57,749,0.8835,0.21775,0.3475,749,0,0,0,1
58,400,0.70775,0.06325,0.5485,124,24.6073,85.4,7.07107,0.31
59,539,0.92175,0.181125,0.47775,539,0,0,0,1
60,273,0.705,0.169,0.54875,273,0,0,0,1
61,649,0.8485,0.193,0.27625,649,0,0,0,1
62,526,0.75275,0.249375,0.5045,526,0,0,0,1
63,404,0.88375,0.076125,0.4795,239.3,0.989949,49.9,12.5865,0.592327
64,254,0.9795,0.010875,0.7395,0,0,1.2,0.565685,0
65,220,0.952,0.18625,0.591,220,0,0,0,1
66,311,0.8875,0.028875,0.38525,89.8,12.4451,63.1,0.141421,0.288746
67,207,0.8315,0.17725,0.414,207,0,0,0,1
68,637,0.7845,0.086,0.7325,402.3,115.824,60.6,34.224,0.631554
69,691,0.737,0.05,0.4105,159.7,38.3252,118.7,0.989949,0.231114
70,422,0.61025,0.095625,0.57375,260.8,51.4774,62,2.26274,0.618009
71,236,0.884,0.09025,0.3505,236,0,0,0,1
72,343,0.9325,0.0765,0.27575,343,0,0,0,1
73,273,0.65,0.1025,0.625,238.7,11.738,19.9,5.51543,0.874359
74,681,0.62775,0.030875,0.5355,0,0,0,0,0
75,293,0.76675,0.172875,0.447,293,0,0,0,1
76,765,0.65075,0.17975,0.70525,370.5,187.383,76.5,56.4271,0.484314
77,359,0.964,0.06675,0.60675,171.4,17.8191,55.3,12.3037,0.477437
78,569,0.831,0.236,0.34475,569,0,0,0,1
79,426,0.73575,0.017375,0.40125,3.1,0.141421,15.1,1.27279,0.007277
80,646,0.591,0.20825,0.731,525.4,135.199,48.3,58.1242,0.813313
81,253,0.599,0.228625,0.399,253,0,0,0,1
82,737,0.6875,0.045875,0.617,76.1,10.6066,47.5,3.53553,0.103256
83,481,0.6555,0.2085,0.55075,481,0,0,0,1
84,422,0.757,0.117875,0.5985,348.7,43.6992,32.8,28.0014,0.826303
85,607,0.9315,0.003625,0.65325,0,0,94.6,1.69706,0
86,231,0.7235,0.059375,0.334,230.7,0.424264,0.3,0.424264,0.998701
87,662,0.6455,0.220375,0.54275,549.3,23.3345,36.2,1.69706,0.829758
88,488,0.91675,0.146625,0.257,488,0,0,0,1
89,279,0.97175,0.16875,0.706,279,0,0,0,1
90,583,0.7435,0.18875,0.397,583,0,0,0,1
91,607,0.50775,0.0925,0.265,336.6,45.8205,85.2,5.37401,0.55453
92,256,0.9075,0.06375,0.7375,158.7,27.0115,45.8,23.4759,0.619922
93,360,0.676,0.034625,0.426,80.1,22.7688,82.3,10.8894,0.2225
94,262,0.864,0.215625,0.6685,262,0,0,0,1
95,671,0.721,0.031625,0.28775,105.1,13.7179,100.7,20.7889,0.156632
96,206,0.70575,0.196125,0.59475,206,0,0,0,1
97,272,0.908,0.136,0.3935,272,0,0,0,1
98,641,0.5335,0.05225,0.306,184.6,2.54558,129.2,24.6073,0.287988
99,440,0.7625,0.139,0.3705,440,0,0,0,1
100,713,0.7105,0.190375,0.48475,533.7,151.179,40.4,22.9103,0.748527
101,283,0.931,0.139125,0.322,283,0,0,0,1
102,203,0.513,0.24325,0.6305,203,0,0,0,1
103,566,0.81325,0.171625,0.6035,478.9,35.7796,25.8,18.9505,0.846113
104,583,0.73225,0.146125,0.40425,498.4,26.5872,20.5,8.06102,0.854889
105,490,0.64075,0.165,0.411,490,0,0,0,1
106,546,0.70275,0.029125,0.7475,0,0,0,0,0
107,592,0.61475,0.20975,0.32825,592,0,0,0,1
108,487,0.7465,0.179875,0.5945,449.3,9.75807,11.5,0.141421,0.922587
109,417,0.72525,0.217125,0.36175,417,0,0,0,1
110,285,0.84825,0.062,0.668,121.2,39.598,63.4,12.7279,0.425263
111,766,0.90275,0.005125,0.4535,0,0,38.7,0.989949,0
112,652,0.719,0.00125,0.2775,0,0,217.6,2.54558,0
113,370,0.9305,0.2045,0.32925,370,0,0,0,1
114,361,0.90125,0.0795,0.29675,355.1,8.34386,2.1,2.96985,0.983657
115,244,0.76225,0.193875,0.55775,244,0,0,0,1
116,677,0.77975,0.175625,0.709,398.9,79.3374,50.8,8.76812,0.589217
117,297,0.74825,0.1125,0.63675,292.9,5.79828,3.6,5.09117,0.986195
118,563,0.917,0.136375,0.391,551.9,15.6978,1.7,2.40416,0.980284
119,725,0.9385,0.004625,0.3285,0,0,37.1,2.40416,0
120,420,0.8745,0.22525,0.61175,420,0,0,0,1
121,221,0.9975,0.099,0.3755,221,0,0,0,1
122,326,0.71525,0.204375,0.3995,326,0,0,0,1
123,757,0.646,0.167,0.54325,480.3,97.4393,73.2,16.4049,0.634478
124,643,0.98175,0.157375,0.3405,643,0,0,0,1
125,318,0.9565,0.112375,0.3795,318,0,0,0,1
126,560,0.98025,0.026625,0.59175,5.5,7.77817,6.8,9.61665,0.00982143
127,434,0.5345,0.2335,0.44625,434,0,0,0,1
128,527,0.83675,0.239375,0.742,514,18.3848,3,4.24264,0.975332
129,306,0.7875,0.17025,0.607,306,0,0,0,1
130,476,0.84675,0.099375,0.263,476,0,0,0,1
131,344,0.678,0.03175,0.35525,88.4,4.52548,94.9,15.6978,0.256977
132,597,0.5525,0.21825,0.65875,441.3,51.9016,54.6,12.4451,0.739196
133,399,0.9665,0.1295,0.3885,399,0,0,0,1
134,342,0.79325,0.119,0.57475,304.8,9.33381,16.4,14.1421,0.891228
135,415,0.92875,0.081125,0.64575,202.3,30.4056,62.7,28.4257,0.48747
136,691,0.85125,0.084125,0.60325,216.2,126.714,109.7,39.7394,0.31288
137,648,0.5215,0.141875,0.65075,315.8,46.9519,92.6,15.2735,0.487346
138,761,0.57025,0.19175,0.49375,442.1,8.6267,73.5,22.7688,0.580946
139,257,0.97975,0.02175,0.703,1.7,2.40416,8.5,12.0208,0.00661479
140,585,0.945,0.021,0.721,0,0,0,0,0
141,797,0.9855,0.14,0.3745,627.7,125.724,28.7,24.1831,0.787578
142,775,0.75175,0.0315,0.61075,0.2,0.282843,3.4,4.80833,0.000258065
143,271,0.57475,0.133375,0.62,249.2,3.67696,17.4,4.24264,0.919557
