sample,nr,dr,df,rf,avg_prey,std_prey,avg_predators,std_predators,normalized_prey
144,280,0.6665,0.18575,0.32675,280,0,0,0,1
145,365,0.88625,0.035375,0.30125,136.8,29.9813,74.8,4.80833,0.374795
146,294,0.50225,0.068,0.2975,278.7,15.4149,10.3,7.49533,0.947959
147,763,0.8235,0.066625,0.48225,226,71.2764,89.4,0.565685,0.296199
148,758,0.52925,0.1415,0.274,546.4,39.598,63.3,10.8894,0.720844
149,315,0.915,0.083375,0.452,298.1,2.40416,9.2,5.37401,0.946349
150,683,0.847,0.115625,0.5965,447.2,51.1945,51.1,6.08112,0.654758
151,416,0.924,0.174125,0.4635,416,0,0,0,1
152,368,0.89725,0.2255,0.53625,368,0,0,0,1
153,791,0.654,0.161625,0.54625,508.3,123.744,60.9,51.9016,0.642604
154,707,0.6165,0.031125,0.589,0,0,0,0,0
155,424,0.91725,0.197375,0.35025,424,0,0,0,1
156,560,0.87925,0.097625,0.37975,424.7,72.832,32.2,8.48528,0.758393
157,646,0.60325,0.00075,0.39225,0,0,416.1,18.5262,0
158,415,0.711,0.14225,0.5335,401,4.24264,6.3,1.55563,0.966265
159,792,0.83625,0.11075,0.457,374.9,138.452,54.5,0.424264,0.473359
160,260,0.63075,0.120625,0.31875,260,0,0,0,1
161,430,0.91275,0.050625,0.311,226.8,85.4185,56.9,20.7889,0.527442
162,451,0.977,0.18775,0.355,451,0,0,0,1
163,365,0.696,0.083625,0.7255,220.4,111.44,42.8,25.7387,0.603836
164,673,0.72675,0.045,0.44575,162.8,65.6195,94.2,8.20244,0.241902
165,753,0.6815,0.137625,0.649,378.2,63.6396,102.6,1.9799,0.502258
166,667,0.96925,0.192625,0.677,635.7,44.2649,5.3,7.49533,0.953073
167,760,0.86225,0.053125,0.2575,266,14.7078,76.4,1.41421,0.35
168,395,0.7095,0.214625,0.41,395,0,0,0,1
169,750,0.516,0.1715,0.73375,365,42.9921,132,49.2146,0.486667
170,332,0.6195,0.179,0.49325,332,0,0,0,1
171,518,0.5665,0.204,0.63125,399.3,71.1349,41.8,22.6274,0.770849
172,548,0.585,0.083875,0.36125,244.3,38.608,94.6,0.848528,0.445803
173,702,0.93075,0.22125,0.3665,702,0,0,0,1
174,599,0.652,0.047625,0.3075,160,38.7495,107.3,2.40416,0.267112
175,729,0.80275,0.037,0.31575,179.9,3.53553,87.7,11.738,0.246776
176,767,0.911,0.148625,0.25625,767,0,0,0,1
177,407,0.9555,0.106375,0.609,361.4,56.5685,8.2,9.89949,0.887961
178,358,0.55825,0.1545,0.32,358,0,0,0,1
179,757,0.7495,0.185125,0.54225,409.9,74.2462,71.7,10.3238,0.54148
180,577,0.80775,0.042,0.624,86.6,113.703,19.1,0.141421,0.150087
181,437,0.734,0.174875,0.61625,437,0,0,0,1
182,222,0.7975,0.242625,0.471,222,0,0,0,1
183,433,0.63175,0.124,0.4545,366.8,26.5872,24.4,16.122,0.847113
184,542,0.5275,0.166125,0.4585,443.1,12.8693,42.5,3.53553,0.817528
185,267,0.9255,0.2345,0.2925,267,0,0,0,1
186,406,0.5225,0.20475,0.69475,382.8,17.8191,15.8,5.9397,0.942857
187,785,0.80975,0.24125,0.33325,785,0,0,0,1
188,216,0.50075,0.137125,0.69725,216,0,0,0,1
189,563,0.96675,0.188,0.51075,553.7,13.1522,2.2,3.11127,0.983481
190,414,0.571,0.190125,0.52875,414,0,0,0,1
191,791,0.79875,0.022375,0.40175,0,0,0,0,0
192,301,0.7375,0.020125,0.62125,0.2,0.282843,10.1,14.0007,0.000664452
193,654,0.6065,0.036625,0.496,48.1,6.92965,54.8,1.13137,0.0735474
194,626,0.817,0.212125,0.386,626,0,0,0,1
195,608,0.5805,0.010625,0.67375,0,0,4.5,0.989949,0
196,442,0.67625,0.02075,0.66125,0,0,0,0,0
197,209,0.8665,0.0215,0.47675,26,13.8593,54.6,29.4156,0.124402
198,740,0.7785,0.12175,0.4715,354.1,121.198,72.1,11.4551,0.478514
199,658,0.8145,0.141375,0.719,460.7,5.51543,29.7,2.12132,0.700152
200,215,0.8435,0.01675,0.3675,25.8,23.1931,41.6,14.425,0.12
201,234,0.6995,0.206625,0.71175,234,0,0,0,1
202,492,0.623,0.066,0.267,317.6,5.9397,58.9,8.34386,0.645528
203,564,0.73725,0.20775,0.39875,564,0,0,0,1
204,586,0.641,0.073375,0.70025,194.1,80.7516,37.5,24.1831,0.331229
205,458,0.51925,0.21275,0.51375,458,0,0,0,1
206,725,0.716,0.037625,0.47275,22.5,19.9404,49.3,55.5786,0.0310345
207,271,0.58325,0.210625,0.647,271,0,0,0,1
208,689,0.66,0.14825,0.2995,662.6,7.35391,8.1,3.25269,0.961684
209,328,0.5115,0.04925,0.66775,127.4,46.3862,57.9,1.27279,0.388415
210,581,0.614,0.0955,0.69675,273.5,96.3079,48.8,18.1019,0.47074
211,249,0.921,0.040375,0.3355,180.5,1.83848,34.5,1.27279,0.7249
212,339,0.8195,0.132125,0.56025,338.7,0.424264,0.1,0.141421,0.999115
213,625,0.6155,0.011,0.31825,0,0,3,1.13137,0
214,562,0.61425,0.06975,0.2885,266.9,20.2233,86.1,9.47523,0.474911
215,415,0.99725,0.18225,0.72775,415,0,0,0,1
216,399,0.9435,0.052,0.57575,188.5,2.40416,60.8,1.9799,0.472431
217,308,0.99625,0.057625,0.27025,308,0,0,0,1
218,457,0.825,0.072375,0.5175,214.5,32.3855,81,1.41421,0.469365
219,253,0.72025,0.087625,0.36275,253,0,0,0,1
220,572,0.80525,0.191125,0.5015,572,0,0,0,1
221,513,0.5375,0.23175,0.31425,513,0,0,0,1
222,529,0.6175,0.16525,0.43025,486.1,21.9203,19.6,13.0108,0.918904
223,677,0.966,0.240375,0.47825,677,0,0,0,1
224,347,0.725,0.198125,0.4575,347,0,0,0,1
225,657,0.9925,0.0055,0.72725,0,0,39.1,3.53553,0
226,246,0.86975,0.034375,0.30375,178.4,2.26274,37,3.67696,0.725203
227,747,0.6135,0.175125,0.551,412.6,64.2053,87.6,18.3848,0.552343
228,275,0.532,0.11625,0.36625,275,0,0,0,1
229,754,0.62125,0.22275,0.67675,405.1,40.0222,70.8,1.9799,0.537268
230,291,0.72875,0.24175,0.592,291,0,0,0,1
231,453,0.553,0.08025,0.5185,230.3,79.3374,78.8,16.9706,0.508389
232,398,0.63925,0.213375,0.371,398,0,0,0,1
233,410,0.51825,0.063,0.74325,20.2,15.2735,66.8,32.5269,0.0492683
234,748,0.94125,0.08875,0.6655,276.8,191.767,72,12.1622,0.370053
235,731,0.96975,0.11375,0.7105,440.9,123.178,52.1,21.9203,0.603146
236,559,0.60175,0.19,0.40725,550.6,11.8794,2.5,3.53553,0.984973
237,467,0.80625,0.135125,0.30875,467,0,0,0,1
238,576,0.9605,0.098125,0.53475,297.3,50.4874,65.6,8.48528,0.516146
239,331,0.81525,0.1485,0.387,331,0,0,0,1
240,408,0.97775,0.108375,0.353,408,0,0,0,1
241,376,0.95825,0.135875,0.59125,376,0,0,0,1
242,459,0.6515,0.131875,0.717,226.1,70.2864,71.6,32.8098,0.492593
243,204,0.533,0.06525,0.60525,92,3.9598,99.1,11.4551,0.45098
244,681,0.596,0.142625,0.35975,408.2,29.9813,80.2,11.3137,0.599413
245,619,0.74375,0.123375,0.593,445,95.6008,57.3,44.2649,0.718901
246,451,0.866,0.074125,0.41275,270.8,49.2146,50.4,17.2534,0.600443
247,473,0.6675,0.0195,0.4135,1.8,2.54558,7.7,10.6066,0.0038055
248,604,0.98675,0.135,0.63775,348.2,57.1342,56,6.50538,0.57649
249,229,0.9545,0.09825,0.53675,229,0,0,0,1
250,594,0.684,0.070875,0.26225,330.1,39.7394,70.2,8.48528,0.555724
251,765,0.916,0.034125,0.4245,85.6,23.4759,51.6,20.3647,0.111895
252,423,0.79275,0.107625,0.7165,305.6,137.179,44.6,45.8205,0.722459
253,368,0.82075,0.114625,0.72225,273.7,20.7889,42.6,3.11127,0.74375
254,395,0.77225,0.036875,0.6885,8.6,1.9799,25.5,5.51543,0.0217722
255,340,0.90925,0.141625,0.685,340,0,0,0,1
256,554,0.58125,0.00275,0.5785,0,0,206.8,0.848528,0
257,302,0.55075,0.156,0.665,280.5,30.4056,12.7,17.9605,0.928808
258,204,0.90325,0.246875,0.74975,204,0,0,0,1
259,425,0.54875,0.1615,0.596,375.8,11.8794,20,3.39411,0.884235
260,497,0.93775,0.014375,0.3335,8.3,11.738,8.1,10.3238,0.0167002
261,709,0.536,0.1215,0.55325,276.2,72.6906,143.7,45.6791,0.389563
262,215,0.74325,0.207625,0.71025,215,0,0,0,1
263,435,0.9745,0.1085,0.71875,370.1,7.49533,21.6,8.76812,0.850805
264,479,0.82875,0.11175,0.39275,437.4,21.7789,13.2,8.48528,0.913152
265,635,0.90425,0.072125,0.40575,284.4,79.4788,57,9.61665,0.447874
266,574,0.9065,0.045125,0.51575,145.1,36.6281,64.5,33.5169,0.252787
267,263,0.9475,0.059625,0.52775,195.3,43.1335,34.3,21.6375,0.742586
268,307,0.57625,0.1885,0.633,307,0,0,0,1
269,272,0.70825,0.03875,0.277,179.2,26.3044,51.9,13.435,0.658824
270,392,0.518,0.000125,0.4565,0,0,542.1,6.08112,0
271,247,0.55025,0.07775,0.618,199.7,18.2434,37.1,20.7889,0.808502
272,391,0.8355,0.0455,0.25675,232.2,24.0416,53,0,0.593862
273,397,0.87875,0.05075,0.51175,113.7,5.23259,71.7,8.06102,0.286398
274,286,0.9355,0.09475,0.50975,284.2,2.54558,0.2,0.282843,0.993706
275,522,0.63725,0.18975,0.713,412.8,41.5779,39.6,30.547,0.790805
276,336,0.728,0.15,0.4555,336,0,0,0,1
277,472,0.6625,0.0985,0.53825,299.5,83.8629,73.1,26.163,0.634534
278,795,0.98975,0.23775,0.498,795,0,0,0,1
279,252,0.87475,0.172125,0.7,252,0,0,0,1
280,716,0.76775,0.178875,0.588,471.7,30.4056,57.3,28.1428,0.658799
281,352,0.6005,0.1325,0.37475,352,0,0,0,1
282,612,0.6225,0.076625,0.651,194.1,0.989949,90.4,24.0416,0.317157
283,784,0.67425,0.067,0.444,215.5,73.9634,94.2,44.4063,0.274872
284,369,0.685,0.0805,0.2915,351.8,24.3245,7.8,11.0309,0.953388
285,201,0.586,0.208375,0.285,201,0,0,0,1
286,330,0.9,0.15925,0.615,330,0,0,0,1
287,771,0.85,0.025875,0.6325,0,0,0,0,0
288,522,0.7115,0.189,0.38625,522,0,0,0,1
289,499,0.9345,0.14725,0.368,499,0,0,0,1
290,490,0.776,0.0695,0.5845,201.9,66.3266,61.2,23.1931,0.412041
291,535,0.8365,0.116125,0.584,431.5,146.371,32.2,45.5377,0.806542
292,362,0.6725,0.229625,0.34225,362,0,0,0,1
293,220,0.69875,0.0855,0.62425,200.2,0.848528,15.1,1.83848,0.91
294,406,0.8065,0.24425,0.73325,406,0,0,0,1
295,726,0.963,0.113375,0.4315,447.8,20.6475,48.7,3.25269,0.616804
296,673,0.84075,0.005625,0.4165,0,0,29.4,2.26274,0
297,778,0.767,0.204125,0.54825,598.2,86.5499,27.6,12.1622,0.768895
298,298,0.5395,0.080125,0.5875,170.2,22.6274,67.1,6.08112,0.571141
299,383,0.89225,0.011125,0.495,0,0,1.4,0.565685,0
300,752,0.76725,0.047375,0.60725,96.5,120.915,28,0.848528,0.128324
301,667,0.83875,0.245375,0.58575,667,0,0,0,1
302,528,0.71475,0.16175,0.33275,528,0,0,0,1
303,596,0.8825,0.21325,0.619,578.4,24.8902,5.2,7.35391,0.97047
304,310,0.9335,0.195375,0.6495,310,0,0,0,1
305,458,0.60675,0.177125,0.44525,458,0,0,0,1
306,695,0.9705,0.0895,0.61225,283.7,3.81838,79.7,16.5463,0.408201
307,212,0.86825,0.083,0.437,212,0,0,0,1
308,763,0.9825,0.069875,0.5,380.3,42.5678,65.1,4.6669,0.498427
309,568,0.61625,0.1775,0.428,539.6,8.76812,9.2,0.848528,0.95
310,237,0.5785,0.110875,0.3435,237,0,0,0,1
311,584,0.608,0.178125,0.32075,584,0,0,0,1
312,699,0.91925,0.1005,0.73,508.7,128.269,13.9,16.8291,0.727754
313,351,0.509,0.246375,0.66375,351,0,0,0,1
314,587,0.60425,0.095875,0.25275,438.5,28.7085,46.9,11.1723,0.747019
315,589,0.6015,0.2425,0.3295,589,0,0,0,1
316,286,0.63525,0.247375,0.4705,286,0,0,0,1
317,304,0.78175,0.165875,0.71725,304,0,0,0,1
318,506,0.584,0.05025,0.32875,218.1,85.2771,76.8,15.2735,0.431028
319,364,0.642,0.213875,0.58125,364,0,0,0,1
320,366,0.6885,0.038375,0.30775,118.2,54.3058,80.2,15.5563,0.322951
321,570,0.60975,0.059125,0.269,241.3,19.6576,101,7.9196,0.423333
322,455,0.9015,0.052125,0.5795,121.3,122.329,59.5,12.5865,0.266593
323,518,0.5125,0.10875,0.4225,312,9.33381,86.2,13.8593,0.602317
324,347,0.64425,0.232875,0.3035,347,0,0,0,1
325,500,0.743,0.21075,0.2655,500,0,0,0,1
326,638,0.631,0.012875,0.309,0,0,1.1,0.424264,0
327,244,0.9715,0.129375,0.70775,244,0,0,0,1
328,272,0.8645,0.19375,0.484,272,0,0,0,1
329,249,0.69225,0.197125,0.362,249,0,0,0,1
330,500,0.84375,0.04175,0.70925,13.4,18.9505,5.8,8.20244,0.0268
331,692,0.6035,0.067125,0.6705,310.7,16.8291,27.9,15.9806,0.448988
332,362,0.86375,0.133,0.3805,362,0,0,0,1
333,217,0.73275,0.245,0.41525,217,0,0,0,1
334,478,0.70175,0.1155,0.645,315.4,68.4479,44.4,27.1529,0.659833
335,236,0.788,0.056125,0.59075,159.7,8.6267,48.1,4.38406,0.676695
336,779,0.7205,0.085875,0.4665,191.6,6.78823,102.7,1.27279,0.245956
337,794,0.503,0.1925,0.5585,403.6,47.5176,144.5,26.163,0.508312
338,538,0.592,0.210125,0.402,538,0,0,0,1
339,591,0.67925,0.128625,0.49525,384.8,29.6985,56.1,27.2943,0.6511
340,358,0.84275,0.042625,0.52025,97.2,21.2132,76.1,3.25269,0.271508
341,460,0.99375,0.242375,0.50825,460,0,0,0,1
342,745,0.942,0.195125,0.608,631.5,47.3762,21.7,7.77817,0.847651
343,267,0.7755,0.051,0.4975,160.2,0.848528,57.1,1.83848,0.6
344,798,0.791,0.073875,0.56575,290.5,16.5463,106.6,16.9706,0.364035
345,780,0.86125,0.128125,0.6645,378,26.0215,34.7,0.424264,0.484615
346,259,0.8265,0.201625,0.73775,259,0,0,0,1
347,675,0.96625,0.025625,0.722,0,0,0,0,0
348,551,0.951,0.04225,0.27125,320.4,52.3259,54.1,6.6468,0.581488
349,659,0.606,0.078875,0.56175,205.3,131.098,108.6,30.8299,0.311533
350,570,0.81675,0.22875,0.45875,570,0,0,0,1
351,503,0.83725,0.028625,0.423,36.4,10.4652,42.8,4.24264,0.0723658
352,312,0.51525,0.0375,0.3065,110.6,0.848528,96.5,8.6267,0.354487
353,557,0.7285,0.22675,0.573,557,0,0,0,1
354,538,0.693,0.168,0.6455,392.4,33.3754,35,13.2936,0.729368
355,393,0.7335,0.018875,0.66975,0,0,0.1,0.141421,0
356,479,0.55375,0.090875,0.61375,180.5,27.5772,119.7,9.47523,0.376827
357,752,0.53825,0.138125,0.7385,265.2,70.7107,125.3,54.7301,0.35266
358,485,0.62275,0.19525,0.60075,453.8,44.1235,11.9,16.8291,0.93567
359,296,0.655,0.005375,0.57325,0,0,33.6,1.13137,0
360,486,0.50825,0.016625,0.55375,0,0,0,0,0
361,350,0.649,0.171,0.315,350,0,0,0,1
362,665,0.62925,0.002625,0.5505,0,0,202.2,7.07107,0
363,266,0.857,0.152125,0.28825,266,0,0,0,1
364,791,0.76625,0.186375,0.60425,543,147.361,45,9.33381,0.686473
365,390,0.66325,0.180375,0.417,390,0,0,0,1
366,265,0.9455,0.0225,0.58175,5.2,7.35391,7.6,3.67696,0.0196226
367,590,0.9775,0.120875,0.612,489.6,21.7789,18.8,0.282843,0.829831
368,296,0.6565,0.07875,0.60375,181.9,77.9232,54.8,52.8916,0.614527
369,606,0.8475,0.150375,0.5385,540.2,72.6906,12.4,7.9196,0.891419
370,555,0.73,0.216375,0.332,555,0,0,0,1
371,610,0.7085,0.159875,0.7225,420.1,20.2233,61,8.20244,0.688689
372,224,0.579,0.091,0.631,180.7,14.5664,30.8,9.89949,0.806696
373,408,0.60575,0.0935,0.3415,344.6,20.9304,30.8,9.05097,0.844608
374,414,0.812,0.06875,0.47725,262.3,44.8306,57.4,20.3647,0.633575
375,469,0.9985,0.04025,0.52275,140.5,84.9942,71.6,15.8392,0.299574
376,687,0.81125,0.043625,0.71125,0,0,0,0,0
377,260,0.7685,0.01025,0.666,0,0,2.8,0.848528,0
378,285,0.55975,0.00675,0.634,0,0,24.8,1.9799,0
379,361,0.97875,0.1605,0.35375,361,0,0,0,1
380,358,0.58075,0.026875,0.58475,0,0,0,0,0
381,788,0.64975,0.058375,0.255,281.2,25.7387,106.2,4.52548,0.356853
382,280,0.928,0.195875,0.59925,280,0,0,0,1
383,295,0.91975,0.169625,0.6805,295,0,0,0,1
384,218,0.829,0.10575,0.63425,218,0,0,0,1
385,492,0.76075,0.17325,0.74875,447,63.6396,16.6,23.4759,0.908537
386,338,0.9755,0.0615,0.743,181.1,84.4285,36.2,31.3955,0.535799
387,330,0.68525,0.111625,0.4175,330,0,0,0,1
388,611,0.76875,0.086625,0.57775,307.4,99.2778,84.6,16.9706,0.50311
389,608,0.72775,0.020375,0.3625,14.3,2.96985,32.4,11.8794,0.0235197
