sample,nr,dr,df,rf,avg_prey,std_prey,avg_predators,std_predators
131,949.6,1.004,0.0815,0.3344,62.475,10.4298,450.15,103.945
132,809.2,1.214,0.0863,0.588,62.6,1.83848,309.575,20.3293
133,584.2,1.754,0.0917,0.6032,52.125,13.4704,321.95,39.5273
134,733.6,0.845,0.1442,0.5608,52.1,10.8894,388.025,24.3598
135,370,0.884,0.0845,0.576,43.375,4.63155,234.35,11.5966
136,670.6,0.731,0.1151,0.4048,59.075,1.94454,393.4,8.6267
137,834.4,1.049,0.0824,0.5272,69.525,3.6416,316.55,23.6174
138,166.6,1.286,0.1877,0.4216,0,0,286.675,0.742462
139,307,1.787,0.1847,0.5144,0,0,310.05,1.76777
140,793,0.581,0.0599,0.4728,104.325,0.247487,212.075,0.0353553
141,510.4,1.868,0.1664,0.5912,1.825,1.87383,504.875,5.97505
142,506.8,1.43,0.092,0.6792,40.8,7.2832,307.85,47.2347
143,172,1.22,0.1697,0.4872,0,0,237.7,8.34386
144,690.4,0.668,0.1616,0.4792,51.725,1.44957,460.45,28.1428
145,271,1.391,0.1643,0.572,0,0,271.7,0
146,845.2,1.202,0.1031,0.3064,37.3,5.44472,584.4,24.678
147,742.6,1.319,0.1679,0.516,14.5,2.96985,639.65,0.212132
148,173.8,1.898,0.14,0.384,0,0,230.875,23.3699
149,384.4,1.988,0.0674,0.6208,49.075,5.19723,198.8,2.89914
150,836.2,0.551,0.1682,0.536,121.65,11.3137,356.5,14.7078
151,109,0.761,0.0569,0.4992,0,0,109,0
152,240.4,1.13,0.1436,0.4232,0,0,238.55,7.70746
153,253,1.712,0.0707,0.6712,23.2,3.60624,199.95,13.5057
154,553.6,1.493,0.1913,0.5392,0,0,554,0
155,830.8,1.76,0.1541,0.3584,8.175,1.73241,780.05,14.8492
156,335.8,0.542,0.1292,0.5664,24.275,5.69221,286.475,2.15668
157,157.6,1.079,0.1628,0.64,0,0,170.55,7.2832
158,769.6,1.103,0.1124,0.4104,33.925,1.23744,538.85,14.6371
159,870.4,1.976,0.1367,0.4864,41.6,2.26274,604.375,52.7855
160,168.4,0.821,0.1565,0.5688,0,0,175.85,1.27279
161,236.8,1.16,0.1211,0.38,0,0,241.075,2.65165
162,827.2,1.061,0.0551,0.684,33.875,10.7834,184.875,90.6864
163,328.6,0.503,0.1943,0.4024,0,0,331.5,0.141421
164,812.8,0.599,0.1307,0.4576,96.925,8.73277,401.9,19.5869
165,274.6,0.596,0.0959,0.3944,0.825,0.601041,274.25,0.636396
166,519.4,1.325,0.1895,0.6984,2.875,3.42947,508.325,9.5813
167,902.8,1.454,0.0593,0.4304,68.725,4.06586,265.075,98.8182
168,600.4,1.703,0.173,0.392,0,0,601,0
169,550,0.77,0.1421,0.5888,30.25,9.75807,440.625,5.48008
170,287.2,1.718,0.1037,0.5672,0.125,0.176777,280.175,9.29845
171,188.2,1.523,0.1001,0.4072,0,0,189,0
172,751.6,1.784,0.1184,0.6936,52.075,6.32861,422.025,11.0662
173,487,1.766,0.0734,0.5464,53.95,8.90955,241.95,23.4759
174,233.2,0.923,0.0998,0.5488,0,0,228.15,8.27315
175,721,0.812,0.1208,0.3424,37.6,6.36396,536.65,40.3758
176,114.4,0.626,0.1235,0.52,0,0,119.575,0.318198
177,209.8,1.46,0.1778,0.4408,0,0,261.975,13.329
178,863.2,0.725,0.0836,0.3096,83.225,5.90434,389.975,15.3796
179,508.6,1.082,0.1175,0.6552,23.6,2.12132,398.55,4.45477
180,127,0.587,0.1241,0.3176,0,0,214.375,6.82358
181,418.6,1.511,0.0713,0.6336,45.275,5.12652,227.975,22.3092
182,377.2,1.376,0.0779,0.5632,38.4,11.0309,242.175,45.7145
183,193.6,1.598,0.062,0.3544,0.075,0.106066,193.975,0.0353553
184,199,1.133,0.1259,0.4424,0,0,197.125,7.74282
185,400.6,0.848,0.0935,0.6472,48.075,5.33866,249.95,8.98026
186,881.2,1.772,0.0905,0.6224,57.7,8.27315,401.275,92.7371
187,278.2,1.205,0.1796,0.688,0,0,279,0
188,177.4,1.181,0.1328,0.4904,0,0,189,3.9598
189,586,1.409,0.0527,0.4088,75.45,3.60624,214.175,27.7539
190,159.4,1.184,0.071,0.4688,0,0,156,5.65685
191,150.4,0.605,0.1463,0.656,0,0,151,0
192,472.6,1.736,0.1724,0.472,0,0,473,0
193,208,1.457,0.1397,0.556,0,0,209.1,1.41421
194,181,1.964,0.083,0.3152,0,0,179.15,6.15183
195,802,0.509,0.0755,0.5768,83.375,9.93485,219.275,27.4004
196,161.2,0.734,0.1364,0.564,0,0,159.875,4.77297
197,688.6,0.5,0.1853,0.4944,94.425,6.75287,393.625,10.0763
198,146.8,1.226,0.1127,0.3768,0,0,184.15,0.0707107
199,128.8,1.799,0.0962,0.3912,0,0,145.25,1.62635
200,364.6,0.524,0.0731,0.4808,99.825,21.0364,152.175,41.0475
201,904.6,1.841,0.0914,0.34,54.875,7.03571,475.075,68.4833
202,924.4,1.679,0.1988,0.5432,19.5,1.62635,747,60.5283
203,965.8,0.635,0.1286,0.3072,69.6,4.10122,563.55,9.12168
204,654.4,1.106,0.1493,0.6752,27.125,14.0361,529.775,62.9679
205,395.2,1.808,0.1676,0.5208,0,0,396,0
206,917.2,0.74,0.1322,0.6368,77.8,14.7078,465.95,40.3051
207,960.4,0.779,0.1979,0.4536,46.175,9.51059,667.85,74.2462
208,766,1.097,0.1403,0.3288,4,2.12132,742.45,15.4856
209,283.6,1.241,0.1991,0.5728,0,0,287.675,0.318198
210,411.4,1.871,0.1496,0.452,0,0,412,0
211,125.2,1.706,0.0509,0.6728,6.95,0.0707107,112.075,9.72272
212,438.4,1.274,0.0911,0.4376,22.475,1.30815,359.4,0.282843
213,361,1.019,0.1298,0.4096,0,0,361,0
214,303.4,1.358,0.1445,0.5736,0,0,296.4,10.748
215,787.6,0.743,0.0716,0.4816,86.5,0.494975,219.275,13.8946
216,195.4,1.559,0.1766,0.3328,0,0,319.525,5.69221
217,533.8,1.088,0.1739,0.66,8.9,0.707107,491.7,1.9799
218,749.8,1.487,0.1265,0.6328,42.325,4.56084,505.975,31.2188
219,694,0.989,0.1247,0.3736,18.225,1.73241,597.025,5.33866
220,568,1.463,0.1673,0.4648,0.4,0.565685,548.45,14.7078
221,667,1.001,0.1181,0.3472,13.75,7.2832,594.85,46.0327
222,269.2,1.295,0.0896,0.5136,1.025,1.44957,268.025,2.58094
223,785.8,0.977,0.146,0.5744,36.7,4.87904,515.25,36.7696
224,310.6,0.665,0.056,0.5848,76.7,6.29325,94.525,23.2992
225,292.6,1.562,0.1586,0.4664,0,0,293.3,0.424264
226,523,1.397,0.074,0.6832,35.3,4.80833,290.2,77.5696
227,726.4,0.794,0.0893,0.3928,71.775,2.36881,346.5,33.3047
228,929.8,1.31,0.1343,0.4592,43.1,6.01041,617.075,5.90434
229,350.2,1.919,0.1976,0.3336,0,0,356.875,0.318198
230,780.4,1.355,0.1376,0.4912,33.525,0.601041,544.4,8.76812
231,983.8,1.034,0.1058,0.5248,57.025,9.79343,384.675,35.815
232,134.2,0.89,0.0773,0.4528,0,0,135,0
233,530.2,1.541,0.119,0.3304,0.375,0.53033,529.75,1.76777
234,434.8,1.379,0.1529,0.3488,0,0,424.125,15.3796
235,425.8,1.418,0.0692,0.3144,14.125,3.28805,384.425,12.5511
236,445.6,1.007,0.077,0.6536,57.3,2.26274,185.925,29.2389
237,515.8,0.578,0.0872,0.6888,66.55,0.707107,291.35,1.48492
238,940.6,1.304,0.1217,0.5824,37.65,3.39411,610.15,38.608
239,992.8,1.19,0.1985,0.6264,25.375,5.40937,788.275,33.1987
240,215.2,1.805,0.191,0.6304,0,0,216.475,9.43988
241,200.8,1.796,0.0812,0.5232,0,0,201,0
242,420.4,1.307,0.0635,0.3576,31.475,1.30815,308.775,11.2784
243,397,1.646,0.1763,0.5096,0,0,397,0
244,407.8,0.653,0.1607,0.4552,0.85,1.20208,395.425,11.0662
245,602.2,1.631,0.1205,0.5864,26.85,3.04056,458.125,25.774
246,953.2,0.521,0.185,0.348,78.075,8.3085,586.525,17.3595
247,848.8,1.907,0.1271,0.372,26.05,6.6468,679.85,30.4056
248,875.8,1.013,0.0842,0.6384,59.075,8.02566,355.775,1.16673
249,719.2,0.584,0.1394,0.528,78.925,3.71231,366.2,18.9505
250,119.8,0.671,0.1223,0.548,0,0,121.55,0.707107
251,616.6,0.647,0.1829,0.5512,52.625,10.3591,433.75,3.60624
252,442,0.707,0.1922,0.4736,0,0,442,0
253,191.8,1.748,0.0518,0.3408,1,1.06066,190.85,1.20208
254,247.6,1.04,0.1874,0.5032,0,0,267.5,13.3643
255,962.2,0.992,0.0971,0.4672,70.9,0.141421,390.325,4.77297
256,771.4,0.998,0.0638,0.5616,56.825,13.8946,303.55,46.7398
257,479.8,0.737,0.1751,0.3392,0,0,480,0
258,638.2,0.875,0.0902,0.5264,71.6,4.03051,292.675,2.36881
259,454.6,1.388,0.0785,0.3632,19.975,0.954594,389.95,1.9799
260,110.8,0.995,0.0668,0.376,0,0,111.5,0.707107
261,951.4,1.484,0.0614,0.5816,57.625,11.5612,267.725,46.4216
262,429.4,1.67,0.1283,0.3752,0,0,430,0
263,789.4,1.742,0.1712,0.6488,18.1,3.60624,673.6,41.6486
264,415,1.232,0.1094,0.444,2.05,0.282843,409.2,0.424264
265,773.2,1.238,0.161,0.6464,33.725,11.3491,553.95,59.6798
266,245.8,1.967,0.0791,0.3888,0,0,239.85,8.69741
267,296.2,0.893,0.0626,0.4984,40.3,7.07107,195.85,19.799
268,915.4,1.778,0.1787,0.6848,30.275,11.844,678.45,34.7189
269,715.6,1.217,0.1898,0.3504,0,0,716,0
270,829,0.632,0.065,0.6704,36.625,18.7737,181.3,10.253
271,154,1.697,0.197,0.3744,0,0,314.225,18.4908
272,955,1.481,0.1277,0.464,40.4,1.13137,585.025,12.0562
273,857.8,1.589,0.0521,0.6584,34.925,4.49013,132.95,97.3686
274,593.2,0.614,0.0803,0.5496,114.55,0.424264,183.25,8.6267
275,478,1.136,0.0743,0.5296,51.55,5.79828,264.675,12.9754
276,544.6,1.175,0.0986,0.5656,41.5,2.82843,319.825,41.189
277,713.8,1.439,0.0566,0.4056,71.75,6.71751,287.275,4.20729
278,692.2,1.763,0.068,0.3856,57.85,8.69741,325.275,34.4715
279,299.8,1.673,0.1514,0.5072,0,0,300,0
280,562.6,0.863,0.0563,0.6152,56.625,1.37886,216.025,54.7654
281,686.8,1.655,0.1799,0.5712,13.775,1.37886,622,1.9799
282,901,1.538,0.1427,0.3528,15.2,3.3234,780.95,30.4056
283,449.2,1.118,0.1841,0.3648,0,0,450,0
284,490.6,0.851,0.1316,0.4032,1.525,1.94454,485.575,5.40937
285,492.4,1.916,0.137,0.6448,21.6,5.79828,402.875,28.2489
286,249.4,1.235,0.098,0.6784,0.125,0.106066,243.5,9.12168
287,717.4,1.676,0.1571,0.3024,0,0,718,0
288,546.4,0.638,0.0557,0.3032,96.575,13.1168,227.075,33.1987
289,728.2,0.905,0.095,0.6912,62.05,5.86899,408.725,14.6725
