sample,nr,dr,df,rf,avg_prey,std_prey,avg_predators,std_predators
66,684,0.8335,0.07575,0.424,273.08,81.9865,75.16,13.4732,0.39924
67,413,0.8765,0.0745,0.4255,283.76,49.7537,43.96,17.1688,0.68707
68,428,0.99,0.08125,0.2745,427.6,0.894427,0.24,0.536656,0.999065
69,640,0.6935,0.14075,0.522,413.56,29.1974,58.6,5.45344,0.646187
70,387,0.657,0.22825,0.3005,387,0,0,0,1
71,307,0.9785,0.01875,0.583,1.8,4.02492,5.76,11.4616,0.00586319
72,567,0.6475,0.22775,0.2865,567,0,0,0,1
73,573,0.6625,0.05975,0.633,170.84,73.9503,62.84,16.4222,0.29815
74,785,0.548,0.2375,0.419,676.36,55.556,31.8,16.1264,0.861605
75,739,0.9555,0.00525,0.735,0,0,45.84,1.69941,0
76,278,0.972,0.01075,0.7245,0,0,2.2,0.469042,0
77,624,0.893,0.165,0.638,497.32,64.3661,30.8,16.2598,0.796987
78,486,0.9275,0.08325,0.601,278.68,99.5723,44.36,8.96928,0.573416
79,581,0.998,0.247,0.5355,581,0,0,0,1
80,310,0.5745,0.08825,0.4485,239.12,28.0943,38.32,9.51063,0.771355
81,597,0.718,0.03825,0.6795,0,0,0,0,0
82,318,0.929,0.128,0.2775,318,0,0,0,1
83,653,0.5115,0.18675,0.4975,454.96,76.9207,61,18.7403,0.696723
84,489,0.86,0.08425,0.4165,355.4,63.3768,36.2,13.8723,0.726789
85,373,0.8495,0.005,0.2805,0.68,1.52053,28.36,2.52745,0.00182306
86,778,0.927,0.11625,0.4275,459.64,84.4515,53.28,13.6107,0.590797
87,566,0.966,0.13675,0.3685,566,0,0,0,1
88,583,0.681,0.2385,0.57,572.8,17.8415,2.24,3.72934,0.982504
89,409,0.7515,0.0085,0.6695,0,0,10.08,0.923038,0
90,463,0.7935,0.20675,0.716,459.64,7.51319,0.24,0.536656,0.992743
91,629,0.5055,0.2345,0.389,625.8,7.15542,1.76,3.93548,0.994913
92,406,0.54,0.0515,0.5495,103.2,35.6199,82.04,27.4545,0.254187
93,780,0.8355,0.2225,0.3525,780,0,0,0,1
94,337,0.9795,0.092,0.714,212.44,26.9471,39.2,11.9992,0.630386
95,435,0.5015,0.15675,0.6045,309.56,54.121,64.72,36.1637,0.711632
96,635,0.6185,0.246,0.571,610.52,30.0045,5.44,6.94176,0.961449
97,224,0.7885,0.06675,0.366,224,0,0,0,1
98,402,0.524,0.16475,0.653,337.48,39.4666,31.6,17.6369,0.839502
99,686,0.7105,0.095,0.6575,366.24,71.6961,59.64,19.0501,0.533878
100,269,0.812,0.02475,0.256,129.36,12.9695,69.72,5.30019,0.480892
101,638,0.9535,0.19475,0.2575,638,0,0,0,1
102,347,0.873,0.11,0.7405,267.2,39.8645,28.8,11.3252,0.770029
103,359,0.9715,0.19025,0.7005,359,0,0,0,1
104,428,0.5345,0.2285,0.3255,428,0,0,0,1
105,593,0.797,0,0.526,0,0,525.04,11.1968,0
106,331,0.664,0.20725,0.2635,331,0,0,0,1
107,633,0.7485,0.10475,0.4115,329.88,31.3632,71.24,6.28872,0.521137
108,751,0.8185,0.2485,0.4055,751,0,0,0,1
109,381,0.742,0.18375,0.3905,381,0,0,0,1
110,683,0.912,0.021,0.627,0,0,0,0,0
111,330,0.5495,0.1255,0.367,330,0,0,0,1
112,386,0.805,0.08575,0.6265,225.12,37.1918,51.12,8.5154,0.583212
113,722,0.8395,0.054,0.4595,241.36,110.08,91.04,25.859,0.334294
114,391,0.522,0.14475,0.537,317.8,34.5679,41.16,24.5232,0.812788
115,293,0.552,0.15975,0.399,293,0,0,0,1
116,219,0.5235,0.08475,0.679,136.12,10.743,69.04,15.423,0.621553
117,363,0.7205,0.05575,0.586,142.08,56.1022,79.6,30.1738,0.391405
118,622,0.8665,0.01675,0.4445,0,0,0.12,0.109545,0
119,484,0.6645,0.1735,0.498,479.8,7.63413,1.04,1.58997,0.991322
120,315,0.554,0.04875,0.718,66.08,52.591,37.72,30.105,0.209778
121,746,0.7565,0.19425,0.2665,746,0,0,0,1
122,757,0.785,0.0065,0.5415,0,0,26,3.93192,0
123,767,0.508,0.05425,0.335,152.96,17.0355,130.2,17.0452,0.199426
124,377,0.5575,0.24875,0.5855,377,0,0,0,1
125,262,0.8265,0.1405,0.345,262,0,0,0,1
126,422,0.59,0.07375,0.62,195.68,68.6301,93.68,32.3891,0.463697
127,274,0.65,0.2115,0.4545,274,0,0,0,1
128,590,0.793,0.13975,0.553,436.52,97.0186,29.68,21.5706,0.739864
129,792,0.9285,0.23475,0.3115,792,0,0,0,1
130,700,0.635,0.07,0.6125,228.36,108.708,88.84,11.2981,0.326229
131,298,0.567,0.17475,0.285,298,0,0,0,1
132,516,0.9105,0.0895,0.563,261.96,59.7229,55.8,16.8671,0.507674
133,630,0.7875,0.2035,0.4585,621.08,19.9457,1.6,3.57771,0.985841
134,279,0.9545,0.11575,0.671,279,0,0,0,1
135,204,0.6695,0.104,0.342,204,0,0,0,1
136,701,0.769,0.017,0.726,0,0,0.16,0.260768,0
137,715,0.611,0.029,0.5875,0,0,0,0,0
138,689,0.8555,0.175,0.4765,623.72,22.9197,14.88,7.69493,0.905254
139,668,0.5595,0.114,0.363,396.6,51.2256,74.32,17.0215,0.593713
140,744,0.9435,0.1235,0.457,467.92,73.2483,38.52,13.7489,0.628925
141,749,0.7855,0.1265,0.7495,566.8,103.3,22.68,17.0086,0.756742
142,264,0.7225,0.06975,0.615,158.72,24.6267,45.04,7.88086,0.601212
143,671,0.9655,0.09475,0.4395,408.28,68.3354,43.32,13.8994,0.608465
144,591,0.6925,0.23175,0.3025,591,0,0,0,1
145,588,0.9775,0.17675,0.4225,588,0,0,0,1
146,713,0.605,0.21925,0.6205,534.96,88.0444,43.16,23.4288,0.750295
147,531,0.568,0.22675,0.412,529.04,4.38269,0.6,1.34164,0.996309
148,703,0.7865,0.234,0.5515,687.32,21.9721,4.76,6.92301,0.977696
149,551,0.9025,0.07475,0.608,244.32,105.397,54.72,24.2889,0.443412
150,232,0.5225,0.0315,0.7095,1.92,2.39416,14.28,13.2058,0.00827586
151,521,0.6385,0.03375,0.415,48.92,10.7076,74,10.1361,0.0938964
152,603,0.613,0.17375,0.662,393.76,50.383,63.28,23.1234,0.653002
153,614,0.791,0.2025,0.501,607,11.5447,1.92,2.7225,0.988599
154,425,0.5945,0.03275,0.643,3.36,7.51319,0.84,1.8783,0.00790588
155,543,0.9215,0.13075,0.2825,543,0,0,0,1
156,763,0.696,0.0055,0.566,0,0,47.68,2.01792,0
157,669,0.6785,0.24275,0.5225,655.76,15.7559,3.6,4.36119,0.980209
158,302,0.6455,0.15475,0.254,302,0,0,0,1
159,790,0.6965,0.19075,0.432,663.2,67.9099,31.04,15.8255,0.839494
160,708,0.918,0.24525,0.5035,708,0,0,0,1
161,737,0.7665,0.2245,0.4105,737,0,0,0,1
162,317,0.896,0.22575,0.4925,317,0,0,0,1
163,674,0.6115,0.122,0.3555,412.04,33.5146,72.92,5.32278,0.611335
164,539,0.5035,0.035,0.398,55.4,19.5852,107.76,25.898,0.102783
165,760,0.8935,0.1415,0.448,525.32,30.4935,39,6.92243,0.691211
166,345,0.857,0.09075,0.3635,344.84,0.357771,0.08,0.178885,0.999536
167,214,0.6485,0.18725,0.503,214,0,0,0,1
168,734,0.8115,0.041,0.465,43.36,19.4517,52.8,15.9906,0.0590736
169,557,0.9705,0.15225,0.748,426.52,90.5161,29.56,17.1134,0.765745
170,473,0.9385,0.02975,0.5525,45.16,46.279,11.24,16.9082,0.0954757
171,780,0.871,0.11825,0.287,682.28,35.9896,17.6,5.76715,0.874718
172,416,0.5465,0.191,0.4725,415.76,0.536656,0.12,0.268328,0.999423
173,684,0.8435,0.11175,0.7465,452.88,113.675,39.52,21.2267,0.662105
174,203,0.78,0.011,0.576,0,0,1.92,0.303315,0
175,240,0.974,0.1795,0.6965,240,0,0,0,1
176,489,0.7735,0.001,0.3515,0,0,237.68,10.4217,0
177,430,0.8685,0.17075,0.4415,430,0,0,0,1
178,517,0.8325,0.17825,0.6285,502.32,17.5531,2.08,2.41081,0.971605
179,263,0.547,0.091,0.484,223.16,19.1397,30.84,16.2576,0.848517
180,682,0.678,0.03475,0.3925,66.8,72.5275,49.04,19.9712,0.0979472
181,781,0.572,0.05525,0.73,35.84,67.6487,6.4,9.25311,0.0458899
182,375,0.921,0.1315,0.593,365.48,17.2827,3.12,5.205,0.974613
183,603,0.5675,0.0655,0.5485,132.92,69.5186,120.44,14.6924,0.220431
184,450,0.588,0.034,0.309,113.68,20.5439,111.24,15.4463,0.252622
185,774,0.9095,0.02675,0.339,96.24,88.7954,66.2,20.241,0.124341
186,692,0.9845,0.00275,0.46,0,0,108.2,4.53872,0
187,552,0.938,0.042,0.316,220.16,49.673,62.52,7.86588,0.398841
188,435,0.7275,0.0475,0.273,229.96,31.3198,69.04,8.06151,0.528644
189,449,0.6255,0.13625,0.582,341.44,20.1213,45.92,13.9432,0.760445
190,599,0.9375,0.016,0.329,5.04,8.33115,5.56,7.60184,0.00841402
191,615,0.655,0.0235,0.445,0,0,1.28,2.75173,0
192,708,0.6125,0.189,0.4535,584.28,83.5311,29.68,14.1666,0.825254
193,498,0.8365,0.20175,0.368,498,0,0,0,1
194,469,0.774,0.03125,0.3425,100.48,24.9386,91.6,18.4065,0.214243
195,505,0.84,0.0495,0.455,153.8,61.8888,78.56,20.0621,0.304554
196,271,0.841,0.02925,0.516,27.48,20.657,58.8,10.5357,0.101402
197,272,0.7595,0.20825,0.333,272,0,0,0,1
198,516,0.573,0.008,0.3325,0,0,11.64,1.80776,0
199,611,0.6795,0.1,0.691,242.56,72.0127,102.92,22.897,0.396989
200,364,0.79,0.11775,0.3465,364,0,0,0,1
201,317,0.9005,0.0415,0.619,82.56,17.5473,37.84,14.7183,0.260442
202,552,0.6585,0.073,0.647,203.04,131.969,65.48,14.9924,0.367826
203,515,0.511,0.209,0.59,425.72,49.638,41.2,17.1575,0.826641
204,441,0.685,0.06525,0.3235,256.16,17.7862,72.08,5.65438,0.580862
205,405,0.75,0.1665,0.5605,400.6,9.8387,1.96,4.38269,0.989136
206,620,0.9465,0.17575,0.471,616.16,8.5865,0.92,2.05718,0.993806
207,631,0.523,0.18025,0.5895,385.08,68.5864,86.88,39.4717,0.610269
208,551,0.618,0.155,0.6615,380.92,38.5584,47.28,8.39357,0.691325
209,725,0.6395,0.09375,0.488,201.24,32.2476,111.12,19.9542,0.277572
210,443,0.932,0.24025,0.724,443,0,0,0,1
211,786,0.9835,0.083,0.5545,335.52,85.8973,60.64,2.73276,0.42687
212,426,0.9805,0.176,0.422,426,0,0,0,1
213,672,0.6885,0.241,0.72,608.52,52.678,12.28,12.6614,0.905536
214,664,0.5265,0.15,0.7165,304.56,138.958,88.56,27.6707,0.458675
215,243,0.779,0.19975,0.4775,243,0,0,0,1
216,458,0.7715,0.1595,0.5625,450.68,7.22994,1.92,2.01296,0.984017
217,306,0.987,0.21725,0.409,306,0,0,0,1
218,602,0.644,0.23225,0.2705,602,0,0,0,1
219,562,0.6975,0.046,0.5565,82.32,103.389,45.68,25.1915,0.146477
220,491,0.7975,0.05875,0.6155,169.08,48.4627,80.4,25.329,0.344358
221,201,0.5885,0.2265,0.539,201,0,0,0,1
222,508,0.803,0.15875,0.3095,508,0,0,0,1
223,362,0.577,0.116,0.2555,362,0,0,0,1
224,443,0.6635,0.2065,0.6585,440.04,6.61876,0.6,1.34164,0.993318
225,465,0.707,0.1425,0.5065,439.72,26.6198,8.08,9.2267,0.945634
226,267,0.5165,0.242,0.2955,267,0,0,0,1
227,513,0.558,0.0165,0.6605,0,0,0.48,0.303315,0
228,650,0.595,0.18875,0.37,615.96,21.0154,10.6,7.34166,0.947631
229,591,0.6245,0.24,0.4575,591,0,0,0,1
230,782,0.6315,0.04025,0.301,135.24,20.1705,115.88,9.73509,0.172941
231,488,0.6205,0.214,0.5195,488,0,0,0,1
232,538,0.659,0.14,0.2835,538,0,0,0,1
233,332,0.7925,0.06725,0.598,136.12,34.5649,72.08,16.5527,0.41
234,269,0.746,0.03675,0.5,81.96,22.3295,61.4,9.52155,0.304684
235,455,0.5935,0.04,0.573,32.2,39.4928,23.08,40.3325,0.0707692
236,341,0.89,0.2135,0.6915,341,0,0,0,1
237,711,0.7425,0.0445,0.267,254.76,43.0078,91.88,13.6291,0.358312
238,228,0.9615,0.09775,0.383,228,0,0,0,1
239,308,0.9955,0.1155,0.6785,300.16,10.7948,3,4.28019,0.974545
240,624,0.67,0.24325,0.297,624,0,0,0,1
241,586,0.6765,0.23825,0.3455,586,0,0,0,1
242,710,0.6145,0.08375,0.5645,225.08,66.0183,106.68,19.5692,0.317014
243,477,0.792,0.11275,0.504,313.84,11.8215,45.72,10.8983,0.657945
244,318,0.7845,0.14775,0.595,318,0,0,0,1
245,252,0.7,0.13825,0.4735,252,0,0,0,1
246,206,0.557,0.0325,0.4005,76.04,17.5302,87.2,12.2368,0.369126
247,791,0.904,0.17875,0.427,714.08,37.3209,15.52,9.86266,0.902756
248,638,0.7005,0.21825,0.6805,511.04,59.1171,37.12,22.8493,0.801003
249,755,0.7475,0.17175,0.3875,607.28,49.8493,31.88,10.7987,0.804344
250,479,0.564,0.0635,0.531,136.96,35.3399,96,20.747,0.285929
251,332,0.8945,0.222,0.5025,332,0,0,0,1
252,714,0.641,0.0485,0.4235,146.16,65.6302,100,13.3619,0.204706
253,449,0.9245,0.009,0.519,0,0,5.6,0.916515,0
254,425,0.654,0.244,0.5505,425,0,0,0,1
255,422,0.6425,0.233,0.505,422,0,0,0,1
256,668,0.8,0.24425,0.5095,659.68,18.6041,1.36,3.04105,0.987545
257,230,0.53,0.02775,0.347,68.24,11.7511,102.28,5.34902,0.296696
258,667,0.5845,0.1995,0.49,534.6,56.2183,36.52,18.5573,0.801499
259,550,0.789,0.20975,0.4175,550,0,0,0,1
260,666,0.829,0.1325,0.402,539.16,49.6764,24.96,8.3826,0.80955
261,339,0.9255,0.142,0.513,339,0,0,0,1
262,539,0.7495,0.16225,0.7125,436.96,22.8991,25.24,12.0003,0.810686
263,606,0.9695,0.11375,0.5945,454.4,72.3464,37,13.647,0.749835
264,392,0.891,0.1935,0.495,392,0,0,0,1
265,793,0.7055,0.0215,0.295,32.44,11.7332,62.08,24.0843,0.0409079
266,502,0.5125,0.1625,0.558,339.84,16.8988,77.72,11.4513,0.676972
267,212,0.6305,0.081,0.636,177.28,10.5779,26.44,7.77869,0.836226
268,341,0.8085,0.14975,0.54,341,0,0,0,1
269,500,0.753,0.135,0.406,470.96,26.578,10.52,9.6805,0.94192
270,564,0.9825,0.0205,0.311,49.04,10.2561,54.92,29.1817,0.0869504
271,777,0.5,0.045,0.413,113.96,27.4465,106.12,39.9411,0.146667
272,224,0.924,0.112,0.5235,224,0,0,0,1
273,531,0.87,0.13775,0.4505,494.16,41.6981,9.76,10.4665,0.930621
274,724,0.9455,0.0125,0.6765,0,0,1.6,0.959166,0
275,277,0.5215,0.18975,0.6385,277,0,0,0,1
276,372,0.819,0.14925,0.6095,365.24,12.1362,2.4,4.42945,0.981828
277,392,0.724,0.21525,0.3755,392,0,0,0,1
278,534,0.931,0.1895,0.4885,534,0,0,0,1
279,237,0.6855,0.13325,0.6455,237,0,0,0,1
280,415,0.5395,0.0725,0.459,177.72,58.13,101.48,28.3202,0.428241
281,648,0.759,0.225,0.669,529.92,83.8424,31.32,24.1639,0.817778
282,472,0.8775,0.028,0.632,0.36,0.804984,2.68,5.99266,0.000762712
283,371,0.7165,0.141,0.7035,307.32,30.8352,27.52,14.5949,0.828356
284,546,0.826,0.04375,0.27,240.44,45.881,79.6,14.4921,0.440366
285,677,0.743,0.1175,0.5885,284.16,51.0698,83.4,5.26308,0.419734
286,527,0.622,0.1205,0.4675,343.64,44.5222,62.52,18.9323,0.652068
287,498,0.777,0.003,0.53,0,0,121.4,5.44243,0
288,459,0.852,0.23275,0.7285,459,0,0,0,1
289,462,0.985,0.147,0.51,462,0,0,0,1
290,360,0.837,0.224,0.4935,360,0,0,0,1
291,437,0.8145,0.093,0.5155,262.76,43.4636,52.44,19.8577,0.601281
292,396,0.5835,0.05175,0.2885,194.48,23.9502,89.92,8.32899,0.491111
293,500,0.5615,0.04075,0.5955,8.12,8.86183,32.32,29.5867,0.01624
294,772,0.882,0.12225,0.4425,513.88,114.931,48.56,24.629,0.665648
295,621,0.5285,0.15725,0.68,367.08,90.9548,73.6,32.1223,0.591111
296,457,0.737,0.226,0.552,457,0,0,0,1
297,386,0.961,0.08275,0.5865,259.32,42.9005,39.96,13.8524,0.671813
298,578,0.602,0.248,0.631,531.24,44.8868,15.08,12.5941,0.9191
299,522,0.7345,0.2335,0.645,510.04,16.4878,5.32,7.32612,0.977088
300,693,0.695,0.21775,0.699,479.32,69.6396,47.96,9.39723,0.691659
301,614,0.875,0.133,0.599,419.6,22.4156,40.28,5.63489,0.683388
302,632,0.863,0.1885,0.5075,619.12,24.1833,2,2.86705,0.97962
303,321,0.688,0.2325,0.491,321,0,0,0,1
304,445,0.9745,0.09675,0.694,327.92,36.9637,29.08,11.5279,0.736899
305,776,0.528,0.151,0.577,309.24,35.0803,108.52,31.7385,0.398505
306,743,0.5455,0.11225,0.4945,264.08,69.4012,125.28,24.6522,0.355424
307,530,0.738,0.17975,0.4475,525.4,10.2859,1.32,2.95161,0.991321
308,384,0.831,0.07525,0.416,246.88,36.6155,48.52,8.69207,0.642917
309,394,0.6155,0.076,0.514,181.36,42.582,91.08,22.3153,0.460305
310,677,0.7395,0.06875,0.555,210.8,62.38,82.64,18.9723,0.311374
311,291,0.589,0.21625,0.3695,291,0,0,0,1
312,685,0.8805,0.13375,0.4995,511.08,109.387,36.28,23.607,0.746102
313,626,0.8345,0.2085,0.641,563.2,33.3353,16.76,11.2262,0.899681
314,620,0.6095,0.118,0.7475,375.12,111.495,65.76,31.8576,0.605032
315,657,0.8955,0.21875,0.482,657,0,0,0,1
316,281,0.8105,0.13875,0.5455,281,0,0,0,1
317,218,0.556,0.06275,0.4315,169.04,17.2982,41.24,12.5071,0.775413
318,770,0.6225,0.21075,0.437,629.24,34.1161,29.28,8.2433,0.817195
319,314,0.6365,0.004,0.7235,0,0,83.88,3.85383,0
320,485,0.5295,0.19725,0.281,485,0,0,0,1
321,284,0.518,0.13575,0.678,250.96,8.23335,25.28,6.15077,0.883662
322,735,0.6135,0.24675,0.7255,589.28,25.9987,32.32,15.055,0.801741
323,545,0.632,0.19375,0.4785,540.48,9.4505,1.92,4.07333,0.991706
324,635,0.5325,0.1635,0.4345,415.16,43.5923,69.8,24.7935,0.653795
325,302,0.71,0.07125,0.7015,152.68,41.3269,68,23.0677,0.505563
326,579,0.675,0.16,0.4365,511.52,44.0149,22.72,17.2873,0.883454
327,218,0.9175,0.23575,0.3735,218,0,0,0,1
328,690,0.8855,0.09525,0.6755,308.68,141.228,62.2,40.3443,0.447362
329,694,0.98,0.024,0.39,43.4,32.5051,39.76,19.5803,0.062536
330,572,0.9495,0.038,0.6875,9.44,9.05804,19.2,21.5351,0.0165035
331,753,0.579,0.2005,0.392,645.32,36.1144,29.92,6.59181,0.856999
332,381,0.876,0.14125,0.731,333.6,29.759,13.4,8.01374,0.875591
333,401,0.653,0.098,0.6335,219.96,31.8783,65.68,20.8027,0.548529
334,571,0.513,0.103,0.4615,246.76,61.0224,118.88,14.6196,0.432154
335,467,0.8305,0.21325,0.7335,465.28,2.86217,0.28,0.521536,0.996317
336,647,0.8845,0.23625,0.3275,647,0,0,0,1
337,726,0.612,0.197,0.515,520.48,65.4363,51.68,18.4405,0.716915
338,632,0.983,0.02125,0.449,0,0,0.68,1.52053,0
339,305,0.647,0.23925,0.3675,305,0,0,0,1
340,306,0.643,0.1275,0.272,306,0,0,0,1
341,736,0.512,0.09925,0.3645,273.68,37.9206,124.64,13.3112,0.371848
342,286,0.728,0.18525,0.4155,286,0,0,0,1
343,340,0.9015,0.138,0.326,340,0,0,0,1
344,796,0.7695,0.1475,0.396,515,50.6055,49.24,8.70333,0.646985
345,592,0.663,0.22925,0.474,586.88,11.4487,0.92,2.05718,0.991351
346,372,0.645,0.075,0.6745,156.28,16.5376,72.12,19.1178,0.420108
347,568,0.8165,0.194,0.5395,566.4,3.57771,0.8,1.78885,0.997183
348,328,0.5405,0.0335,0.3965,88.84,27.2871,99.56,13.8805,0.270854
349,203,0.815,0.02025,0.4185,25.24,8.45033,53.28,6.92907,0.124335
350,492,0.5565,0.05825,0.717,65.68,53.6393,44.68,34.4968,0.133496
351,606,0.7065,0.0555,0.4525,163.6,87.4049,85.24,28.4054,0.269967
352,741,0.733,0.08075,0.4985,185.6,52.2404,98.28,6.87983,0.250472
353,396,0.587,0.08775,0.3765,277.16,24.3312,55.48,12.7362,0.699899
354,654,0.8785,0.06375,0.3855,276.36,75.8113,82.76,13.5059,0.422569
355,320,0.8405,0.05125,0.6975,143.2,45.9456,40.84,10.1039,0.4475
356,546,0.7075,0.02725,0.3895,40.12,57.1566,31.8,18.2729,0.0734799
357,494,0.926,0.1815,0.685,481.72,15.5458,2.04,2.83337,0.975142
358,353,0.6405,0.192,0.656,353,0,0,0,1
359,671,0.8565,0.12725,0.6475,363.96,83.8894,55.52,15.3014,0.542414
360,601,0.683,0.21425,0.317,601,0,0,0,1
361,728,0.599,0.026,0.2695,102.48,21.8987,117.08,12.2789,0.140769
362,446,0.6705,0.236,0.7205,437.16,18.1364,2.04,4.12892,0.980179
363,363,0.5505,0.161,0.7315,276.28,57.8677,48.16,28.4237,0.761102
364,519,0.521,0.0935,0.652,227.4,65.9069,83.44,38.9686,0.43815
365,420,0.5865,0.06225,0.3835,195.04,34.8234,92,12.3321,0.464381
366,698,0.9065,0.16625,0.277,698,0,0,0,1
367,471,0.9605,0.02575,0.393,54,23.6288,46.72,7.51079,0.11465
368,554,0.822,0.0225,0.663,0,0,0.04,0.0894427,0
369,596,0.5705,0.1955,0.6725,381.64,51.1757,61.68,16.327,0.640336
370,439,0.692,0.2275,0.5215,439,0,0,0,1
371,658,0.8045,0.065,0.4195,238.48,61.3867,79.6,17.4379,0.362432
372,478,0.783,0.044,0.6555,48.64,57.4114,20.2,19.967,0.101757
373,405,0.8645,0.201,0.4455,405,0,0,0,1
374,297,0.5185,0.068,0.7425,135.16,33.0628,54.84,14.189,0.455084
375,563,0.633,0.249,0.6545,531.08,18.9492,10.64,5.95886,0.943304
376,389,0.9595,0.1705,0.5755,389,0,0,0,1
377,740,0.842,0.239,0.336,740,0,0,0,1
378,788,0.703,0.1215,0.461,393.96,83.2441,77.64,26.6932,0.499949
379,240,0.772,0.06425,0.2795,240,0,0,0,1
380,254,0.997,0.24625,0.591,254,0,0,0,1
381,453,0.773,0.1365,0.2675,453,0,0,0,1
382,529,0.7965,0.05625,0.6005,106.56,83.1089,70.68,25.2909,0.201437
