sample,nr,dr,df,rf,avg_prey,std_prey,avg_predators,std_predators
0,355,0.539,0.1025,0.666,175.84,37.4188,95.88,21.5716,0.495324
1,718,0.6065,0.2425,0.3655,718,0,0,0,1
2,561,0.7985,0.20925,0.704,513.6,45.0595,16.08,15.3431,0.915508
3,512,0.8445,0.2095,0.3775,512,0,0,0,1
4,374,0.9635,0.11425,0.4755,374,0,0,0,1
5,464,0.8835,0.01825,0.2545,81.32,34.9395,71.52,7.94808,0.175259
6,251,0.5135,0.03625,0.401,86.76,11.0466,105.68,19.4189,0.345657
7,473,0.73,0.18775,0.696,447.6,22.953,12.24,9.62434,0.9463
8,659,0.5905,0.178,0.5475,360.36,104.8,90.44,32.6482,0.546829
9,723,0.699,0.19675,0.3065,723,0,0,0,1
10,611,0.9735,0.056,0.3625,268.92,37.2662,69.84,5.93195,0.440131
11,636,0.7115,0.12425,0.2815,596.4,31.9791,10.04,8.71826,0.937736
12,639,0.5655,0.22875,0.5915,507.96,63.5039,41.36,19.2953,0.79493
13,335,0.6465,0.052,0.5595,88.64,34.9355,98.04,20.8832,0.264597
14,255,0.7585,0.17725,0.2655,255,0,0,0,1
15,675,0.5305,0.15025,0.47,359.64,57.6899,93.36,20.5997,0.5328
16,750,0.88,0.00225,0.3215,0,0,125.08,4.64241,0
17,212,0.892,0.2465,0.3225,212,0,0,0,1
18,634,0.6345,0.012,0.282,0,0,2.12,0.363318,0
19,594,0.7745,0.0175,0.283,17.8,11.4377,33.48,6.63867,0.0299663
20,554,0.9485,0.1185,0.635,405.56,80.6693,32.6,13.1248,0.732058
21,290,0.858,0.1435,0.7275,290,0,0,0,1
22,499,0.914,0.11475,0.364,485.76,29.6055,3.32,7.42375,0.973467
23,221,0.709,0.15525,0.3385,221,0,0,0,1
24,380,0.5555,0.0805,0.26,367.68,7.61656,8.12,4.57515,0.967579
25,300,0.757,0.0735,0.253,300,0,0,0,1
26,585,0.5095,0.17925,0.6175,331.44,60.3943,100.72,49.7941,0.566564
27,729,0.6985,0.13475,0.352,515.48,55.9358,52.28,15.8717,0.707106
28,730,0.628,0.21125,0.2615,730,0,0,0,1
29,575,0.6565,0.229,0.259,575,0,0,0,1
30,659,0.5785,0.1335,0.3165,523.76,45.5705,38.36,16.1161,0.79478
31,777,0.7915,0.22325,0.3,777,0,0,0,1
32,354,0.7035,0.139,0.261,354,0,0,0,1
33,731,0.807,0.0585,0.612,249.4,84.8611,88.8,44.8954,0.341176
34,741,0.7195,0.1835,0.4,611.12,31.5257,29.6,10.4048,0.824723
35,483,0.959,0.0595,0.38,240.84,19.4702,60.56,6.49061,0.498634
36,792,0.734,0.12825,0.6715,447.4,110.926,54.56,6.95327,0.564899
37,610,0.5925,0.0545,0.58,140.36,78.537,30.32,8.84149,0.230098
38,494,0.608,0.10425,0.536,259.8,67.1574,87.92,30.574,0.525911
39,593,0.879,0.051,0.4405,208.28,85.9565,68.44,10.6051,0.351231
40,342,0.8505,0.05275,0.365,224.96,28.2242,44,8.7155,0.657778
41,275,0.7455,0.0535,0.3575,209.12,41.7393,37.64,21.1638,0.760436
42,783,0.848,0.06925,0.6825,246.2,111.35,59.36,18.5921,0.314432
43,313,0.8825,0.166,0.667,313,0,0,0,1
44,756,0.958,0.19,0.3535,755,2.23607,0.48,1.07331,0.998677
45,365,0.5195,0.05075,0.3055,176.88,19.2897,98.56,7.19639,0.484603
46,456,0.887,0.08925,0.6625,223.6,67.8933,59.72,17.6418,0.490351
47,336,0.676,0.1305,0.568,325.16,10.9201,4.76,5.61142,0.967738
48,474,0.7045,0.15825,0.43,469,11.1803,1.76,3.93548,0.989451
49,236,0.953,0.14175,0.4905,236,0,0,0,1
50,239,0.8735,0.05325,0.293,238.52,0.715542,0.48,0.715542,0.997992
51,512,0.591,0.1555,0.3505,508.44,7.9604,1.16,2.59384,0.993047
52,259,0.7335,0.101,0.5775,253.76,6.6459,3.8,4.93761,0.979768
53,202,0.885,0.12975,0.319,202,0,0,0,1
54,604,0.928,0.20775,0.4035,604,0,0,0,1
55,350,0.7675,0.10875,0.7195,294,18.9457,24.96,8.78908,0.84
56,419,0.5725,0.18625,0.7155,389.56,27.1865,16.36,20.0985,0.929737
57,607,0.995,0.0885,0.5685,288.2,75.7908,63.88,12.9488,0.474794
58,636,0.6555,0.20325,0.2935,636,0,0,0,1
59,417,0.81,0.0915,0.7485,237.16,52.0189,46.96,11.5537,0.568729
60,261,0.697,0.14025,0.6025,261,0,0,0,1
61,442,0.7175,0.245,0.698,442,0,0,0,1
62,567,0.9135,0.10575,0.6105,330.72,49.775,54.04,17.0049,0.58328
63,582,0.6825,0.07225,0.5435,211.12,45.6972,82.04,6.56415,0.362749
64,743,0.9125,0.18075,0.369,743,0,0,0,1
65,771,0.981,0.032,0.4895,46.76,63.9724,13.48,18.6845,0.0606485
