sample,nr,dr,df,rf,avg_prey,std_prey,avg_predators,std_predators
0,560,0.85,0,0.25,0,0,294.78,4.16737,0
1,260,0.55,0.15,0.35,260,0,0,0,1
2,740,0.65,0.075,0.45,234.4,51.1531,102.46,9.9455,0.316757
3,200,0.7,0.225,0.55,200,0,0,0,1
4,500,0.5,0.125,0.3,463.5,22.8221,15.5,9.17197,0.927
5,620,0.9,0.1,0.65,298.5,71.3941,58.98,16.3776,0.481452
6,320,0.75,0.2,0.5,320,0,0,0,1
7,380,0.8,0.175,0.7,364.68,13.0596,5.28,4.05426,0.959684
8,440,0.6,0.05,0.4,144.88,12.9899,104.92,11.9936,0.329273
9,680,0.95,0.025,0.6,0.6,1.34164,2.68,5.21124,0.000882353
