sample,nr,dr,df,rf,avg_prey,std_prey,avg_predators,std_predators
0,739,0.86,0.194,0.464,25.6,3.67696,644.9,44.5477
1,253,0.905,0.086,0.384,0,0,252.9,0.141421
2,325,1.28,0.185,0.644,1.12412e+08,1.58974e+08,325,0
3,955,1.775,0.062,0.516,77.2,6.50538,221.2,13.8593
4,100,0.635,0.1595,0.536,0,0,134.3,22.486
5,370,0.71,0.092,0.304,3.3,3.25269,363.7,4.38406
6,208,1.37,0.1805,0.316,0,0,327.3,2.12132
7,136,1.955,0.182,0.624,0,0,174.6,14.9907
8,982,1.475,0.191,0.452,20.3,19.0919,782.9,84.1457
9,568,0.89,0.1145,0.556,52,22.0617,324.2,78.0646
10,721,1.865,0.083,0.632,63.9,39.7394,209.7,9.75807
11,892,0.8,0.1205,0.596,67.9,41.1536,456.6,230.517
12,964,1.55,0.0875,0.488,84.1,9.75807,234.7,30.4056
13,613,1.46,0.1565,0.648,34.2,1.41421,444.6,4.52548
14,694,1.4,0.116,0.548,50.6,16.9706,305,56.5685
15,946,1.34,0.1355,0.584,71.4,24.0416,341.1,212.273
16,505,1.385,0.0545,0.328,44.9,17.9605,272.3,7.49533
17,433,0.845,0.074,0.616,61.1,12.0208,242.8,108.612
18,280,0.62,0.167,0.416,0,0,256.9,46.5276
19,883,1.655,0.14,0.4,39.3,6.08112,652.5,46.8105
20,496,1.85,0.053,0.664,74.5,12.0208,87.9,40.0222
21,271,0.965,0.0905,0.592,2.8,1.41421,261.9,2.96985
22,757,1.04,0.101,0.62,40.5,2.40416,462.4,87.3984
23,703,1.52,0.161,0.512,32.7,6.6468,526.7,86.9741
24,145,1.01,0.104,0.38,0,0,171.2,32.2441
25,811,1.97,0.197,0.636,25.9,4.38406,577.2,54.5886
26,910,0.605,0.1505,0.588,81.1,27.2943,422.4,79.7616
27,379,1.235,0.1775,0.576,0,0,379,0
28,163,1.625,0.1895,0.668,0,0,167.3,27.2943
29,217,1.175,0.131,0.32,0,0,255.3,8.34386
30,784,1.73,0.095,0.476,70,20.3647,226.4,4.80833
31,577,1.565,0.0995,0.348,26.3,4.10122,472.2,11.8794
32,820,0.755,0.188,0.58,67.3,7.77817,437.8,208.172
33,235,1.925,0.0935,0.34,0,0,235,0
34,469,1.61,0.179,0.504,0,0,422.1,66.3266
35,514,1.79,0.1985,0.64,0,0,514,0
36,316,1.13,0.1475,0.468,0,0,284.4,44.6891
37,991,1.88,0.0575,0.68,30.3,3.53553,292,9.05097
38,595,1.595,0.113,0.688,36.4,4.24264,337.4,64.2053
39,424,1.94,0.077,0.308,3.5,1.55563,410.4,3.9598
40,127,1.055,0.068,0.652,2,2.82843,111,13.2936
41,649,0.5,0.155,0.36,77.8,29.9813,427.7,29.8399
42,901,0.65,0.122,0.608,103.2,48.0833,370.2,294.439
43,622,0.695,0.1295,0.612,79,24.0416,282.3,37.7595
44,460,1.985,0.1535,0.472,0.4,0.565685,413.1,63.781
45,793,1.64,0.137,0.42,29.1,0.707107,590,15.8392
46,775,0.83,0.1835,0.552,31.6,4.24264,569.2,37.9009
47,550,1.58,0.1325,0.3,0,0,550,0
48,874,1.07,0.152,0.54,47.7,13.1522,540.7,29.2742
49,658,1.22,0.17,0.388,1.4,1.13137,652.3,4.10122
50,343,1.49,0.0845,0.412,4.6,4.24264,329.2,14.1421
51,451,0.77,0.1445,0.324,0,0,451,0
52,388,1.355,0.149,0.604,3.3,4.38406,341.5,63.4982
53,685,1.16,0.128,0.344,12.6,4.52548,622.7,10.8894
54,226,1.25,0.1175,0.684,0,0,203.4,31.9612
55,190,0.74,0.146,0.392,0,0,208.2,16.122
56,829,1.115,0.0965,0.432,55.3,6.36396,316.2,16.6877
57,262,1.43,0.1115,0.404,0,0,262,0
58,937,1.19,0.1715,0.568,44.1,19.9404,516.1,54.1644
59,181,1.295,0.056,0.368,1.6,2.26274,179.8,1.69706
60,559,0.56,0.1955,0.424,13.8,4.80833,468.1,85.5599
61,631,0.725,0.065,0.524,98.9,20.5061,153.4,38.4666
62,154,1.835,0.0725,0.5,0,0,138.6,21.7789
63,667,0.665,0.119,0.564,94.8,6.78823,235.9,72.2663
64,352,1.145,0.176,0.696,0,0,316.8,49.7803
65,604,0.575,0.158,0.436,61.6,8.20244,418.4,36.4867
66,919,1.535,0.1925,0.336,2.7,3.81838,812.1,108.753
67,118,1.445,0.164,0.672,0,0,139.3,0.141421
68,973,1.745,0.107,0.532,43.9,8.90955,480.8,41.0122
69,766,1.67,0.143,0.408,22.8,11.3137,635.9,59.8212
70,748,1.1,0.134,0.46,22.6,21.2132,533.1,23.0517
71,856,0.935,0.1655,0.692,46.7,21.3546,531.7,96.8736
72,523,1.685,0.1235,0.448,18.4,26.0215,402.1,21.9203
73,586,0.53,0.1085,0.56,125.4,41.295,182.3,17.112
74,532,0.785,0.1055,0.456,41.9,3.53553,339,72.9734
75,172,0.545,0.1415,0.656,0,0,172,0
76,334,0.875,0.0515,0.372,45,3.39411,184,59.9627
77,865,0.98,0.1385,0.484,43.9,5.51543,576.4,10.1823
78,847,1.715,0.0635,0.508,75.1,19.9404,163.6,26.0215
79,199,1.76,0.1265,0.44,0,0,210.7,8.6267
80,406,0.68,0.0785,0.428,47.8,14.9907,225.7,26.7286
81,478,1.895,0.11,0.364,2.2,1.41421,472.1,0.424264
82,109,1.31,0.08,0.496,0,0,98.1,15.4149
83,289,0.515,0.1025,0.352,0,0,288.9,0.141421
84,244,1.415,0.1865,0.528,0,0,227.7,43.982
85,442,1.805,0.1625,0.396,0,0,442,0
86,298,1.025,0.125,0.572,0,0,268.1,42.285
87,838,0.995,0.05,0.356,76.4,2.54558,261.9,18.2434
88,487,1.325,0.0815,0.66,36.7,4.10122,248.5,111.016
89,640,0.59,0.0665,0.6,114.4,26.3044,180.9,37.1938
90,676,1.205,0.173,0.676,23.7,2.40416,533.2,12.4451
91,397,0.92,0.0605,0.312,30.6,24.8902,313,75.2362
92,802,1.7,0.089,0.544,61.2,12.4451,344.6,229.103
93,361,0.95,0.098,0.48,10.3,9.75807,335.4,31.3955
94,730,0.815,0.071,0.52,95.8,5.09117,258.4,119.36
95,541,1.265,0.059,0.332,47.4,11.0309,321.3,80.1859
96,712,1.085,0.0695,0.492,75,11.5966,271.9,112.43
97,928,1.82,0.0755,0.444,73.8,19.799,273.2,108.894
98,415,1.505,0.1745,0.628,0,0,373.4,58.5484
99,307,1.91,0.1685,0.376,0,0,309.5,3.53553
