sample,nr,dr,df,rf,avg_prey,std_prey,avg_predators,std_predators
0,649,1.1525,0.053,0.37,53.9,0.707107,300.1,53.8815
1,131.5,1.13,0.059,0.488,0,0,132,0
2,100,0.62,0.194,0.564,1.14723e+08,1.62242e+08,204,0
3,149.5,1.115,0.0875,0.668,0,0,150,0
4,217,1.9625,0.07175,0.69,13.1,4.6669,173.2,30.547
5,293.5,0.545,0.06725,0.51,90.3,1.27279,110,13.0108
6,163,1.625,0.12575,0.572,0,0,146.7,23.0517
7,842.5,1.8275,0.07925,0.596,64.2,21.7789,218.3,90.6511
8,676,1.3625,0.13325,0.462,36.7,17.6777,506.8,67.5994
9,343,1.46,0.062,0.474,48.7,23.6174,202.8,56.0029
10,604,1.955,0.15275,0.402,4.9,6.92965,581.9,31.2541
11,379,0.74,0.05525,0.624,80.9,11.1723,105.2,43.8406
12,505,1.235,0.0935,0.444,24.8,3.11127,365.2,77.7817
13,392.5,0.8375,0.1085,0.482,13.1,9.47523,366.8,9.89949
14,878.5,1.5725,0.0605,0.464,75.5,32.9512,169.8,1.69706
15,788.5,1.385,0.10625,0.692,41.2,1.69706,386.3,148.068
16,419.5,0.77,0.077,0.654,38.7,4.94975,294.1,41.4365
17,856,1.1675,0.1595,0.468,31.6,10.4652,666,60.2455
18,140.5,0.9575,0.128,0.554,0,0,136.1,14.2836
19,176.5,0.665,0.1625,0.316,0,0,283.5,19.9404
20,667,0.5525,0.09425,0.586,75.4,12.7279,221.9,29.2742
21,496,1.895,0.0995,0.534,40.5,3.53553,336.5,34.0825
22,406,0.5675,0.104,0.334,6,8.48528,354.4,41.8607
23,266.5,1.9025,0.17525,0.558,0,0,267,0
24,536.5,1.025,0.17825,0.384,0,0,483.3,75.9433
25,253,0.8525,0.1055,0.434,0,0,253,0
26,973,1.7375,0.182,0.538,35,16.9706,577.1,14.0007
27,770.5,1.04,0.083,0.378,58.5,1.55563,336.5,28.7085
28,428.5,1.9925,0.05,0.56,36.5,2.96985,231.6,66.1852
29,248.5,1.4975,0.1655,0.388,0,0,260.4,1.41421
30,761.5,0.86,0.0965,0.556,91.2,3.9598,232.3,40.3051
31,644.5,1.01,0.143,0.584,11.5,6.08112,562.8,57.4171
32,469,1.0475,0.05825,0.332,41.8,11.3137,289.8,99.2778
33,320.5,0.7625,0.0785,0.53,42.7,0.141421,228.2,14.425
34,626.5,1.6175,0.12125,0.318,0,0,627,0
35,244,0.65,0.10325,0.348,0,0,244,0
36,356.5,1.7,0.065,0.544,38.1,4.38406,218.4,42.1436
37,685,0.7775,0.14975,0.47,53.9,7.49533,435,40.1637
38,559,1.64,0.179,0.45,0,0,503.1,79.0545
39,608.5,0.8075,0.098,0.64,51.5,4.38406,316.3,67.458
40,316,1.37,0.1205,0.446,0,0,284.4,44.6891
41,752.5,0.89,0.08825,0.392,74.2,4.52548,303.2,52.8916
42,919,1.4375,0.13475,0.4,38.5,6.92965,542.1,126.572
43,334,1.0775,0.176,0.524,0,0,334,0
44,577,1.3925,0.086,0.634,41.9,25.0316,291.6,6.50538
45,703,1.535,0.122,0.396,20.6,3.9598,580.4,26.8701
46,370,0.875,0.16175,0.694,1.9,2.68701,328.1,45.3963
47,959.5,1.745,0.0755,0.306,68.9,6.92965,393.3,68.3065
48,262,0.5075,0.12725,0.652,11.3,0.424264,219.3,41.1536
49,518.5,1.985,0.11225,0.308,0,0,519,0
50,199,1.8425,0.05075,0.632,24.4,7.35391,157.3,13.435
51,451,1.49,0.19325,0.546,0,0,451,0
52,689.5,1.865,0.15725,0.592,19.2,1.41421,497.5,154.856
53,212.5,1.31,0.15875,0.412,0,0,256.5,3.53553
54,527.5,0.995,0.14375,0.566,9.2,12.1622,430.8,134.35
55,779.5,1.505,0.08975,0.678,45.5,18.5262,364.6,283.974
56,289,1.25,0.146,0.304,0,0,298.5,2.96985
57,172,0.9275,0.14225,0.528,0,0,181.3,12.0208
58,865,1.0325,0.1535,0.548,38,18.3848,573.6,4.52548
