sample,nr,dr,df,rf,avg_prey,std_prey,avg_predators,std_predators
0,172,0.59,0.155,0.508,0,0,175.1,4.38406
1,208,1.43,0.113,0.404,0,0,208,0
2,334,1.16,0.188,0.692,0,0,334,0
3,496,0.71,0.092,0.452,76.2,3.11127,292.8,12.1622
4,388,1.19,0.119,0.628,11.2,8.20244,354.8,28.5671
5,460,0.74,0.056,0.596,83.5,22.486,107.2,16.4049
6,622,0.83,0.179,0.604,7.4,10.4652,590.7,44.2649
7,154,1.22,0.08,0.3,0,0,156.5,0.141421
8,568,1.97,0.122,0.356,1.6,2.26274,501.9,93.4795
9,946,0.86,0.074,0.308,86.3,12.0208,391.8,46.669
10,856,1.46,0.125,0.636,73.4,19.799,429.9,232.921
11,118,1.94,0.071,0.348,0,0,119.9,1.55563
12,838,1.91,0.086,0.564,72.5,39.7394,301.6,11.0309
13,424,1.79,0.104,0.572,31,15.8392,313.1,34.0825
14,532,0.89,0.152,0.5,15.9,6.6468,418.3,61.5183
15,712,1.01,0.068,0.34,53.6,1.9799,430,54.8715
16,136,1.25,0.137,0.38,0,0,232,24.3245
17,676,0.8,0.191,0.676,18.4,25.173,561.5,137.037
18,262,1.13,0.146,0.396,0,0,265.8,0
19,316,1.4,0.077,0.62,30.4,16.4049,239.2,34.5068
20,352,1.61,0.167,0.54,0,0,316.8,49.7803
21,190,0.95,0.11,0.46,0,0,198,7.63675
22,766,0.92,0.134,0.372,22.7,13.7179,557.6,20.3647
23,784,0.53,0.107,0.324,116.9,8.6267,380.1,27.5772
24,964,1.55,0.17,0.556,37.5,16.2635,600.8,282.56
25,748,1.73,0.095,0.58,44,27.4357,442.1,95.4594
26,730,0.77,0.05,0.42,97.6,10.748,165.6,104.935
27,640,1.88,0.14,0.684,38.6,4.80833,440.1,40.3051
28,244,0.98,0.149,0.468,0,0,252.1,1.83848
29,586,1.07,0.197,0.524,0,0,586,0
30,442,0.62,0.182,0.428,0,0,397.8,62.5082
31,820,1.7,0.173,0.652,11.9,9.19239,716.5,12.8693
32,874,1.82,0.101,0.316,48.3,6.08112,556.6,111.723
33,892,1.52,0.176,0.516,22.1,1.83848,737.6,28.85
34,406,1.67,0.185,0.388,0,0,365.4,57.4171
35,550,1.04,0.128,0.548,29.2,4.52548,415.1,1.55563
36,280,0.5,0.161,0.332,0,0,275.7,50.4874
37,982,0.65,0.059,0.532,73,18.1019,90.6,2.82843
38,694,1.37,0.065,0.588,56.1,2.12132,268.9,28.1428
39,910,1.49,0.089,0.484,77.5,10.3238,331.8,82.5901
40,298,1.58,0.053,0.492,38.4,5.37401,150.2,18.1019
41,100,0.56,0.062,0.412,0,0,100,0
42,604,1.28,0.194,0.364,0,0,543.6,85.4185
43,928,1.64,0.131,0.612,40.4,24.0416,539,235.608
44,478,1.34,0.158,0.476,0,0,430.2,67.5994
45,226,0.68,0.143,0.644,0,0,226,0
46,802,1.76,0.164,0.66,27.6,17.2534,551.5,202.94
47,370,1.85,0.083,0.444,12.7,12.8693,346.5,26.163
48,514,1.1,0.098,0.436,24.7,9.75807,362,137.462
49,658,1.31,0.116,0.668,37,19.2333,427.9,13.7179
