sample,nr,dr,df,rf,avg_prey,std_prey,avg_predators,std_predators
0,946,1.01,0.077,0.668,0,0,0,0
1,586,0.845,0.1745,0.632,0,0,0,0
2,190,1.655,0.1055,0.432,0,0,0,0
3,181,0.71,0.1655,0.652,0,0,0,0
4,730,0.89,0.167,0.376,0,0,0,0
5,676,1.625,0.083,0.588,0,0,0,0
6,712,1.52,0.1595,0.428,0,0,0,0
7,307,0.785,0.1775,0.316,0,0,0,0
8,451,0.515,0.0785,0.3,0,0,0,0
9,658,0.935,0.08,0.54,0,0,0,0
10,559,0.86,0.0995,0.648,0,0,0,0
11,550,1.4,0.194,0.536,0,0,0,0
12,271,1.49,0.1475,0.604,0,0,0,0
13,397,0.98,0.0875,0.476,0,0,0,0
14,217,0.755,0.05,0.364,0,0,0,0
15,856,1.04,0.143,0.696,0,0,0,0
16,973,1.79,0.1115,0.62,0,0,0,0
17,118,1.94,0.11,0.584,0,0,0,0
18,784,1.985,0.1265,0.496,0,0,0,0
19,820,1.28,0.0965,0.636,0,0,0,0
20,370,1.835,0.065,0.5,0,0,0,0
21,199,1.865,0.1415,0.384,0,0,0,0
22,919,1.34,0.146,0.492,0,0,0,0
23,793,1.595,0.101,0.672,0,0,0,0
24,244,0.77,0.119,0.488,0,0,0,0
25,478,1.115,0.0815,0.348,0,0,0,0
26,109,0.62,0.1805,0.556,0,0,0,0
27,442,1.1,0.152,0.656,0,0,0,0
28,415,0.59,0.059,0.42,0,0,0,0
29,910,1.925,0.14,0.592,0,0,0,0
30,703,1.85,0.074,0.444,0,0,0,0
31,253,0.5,0.104,0.372,0,0,0,0
32,388,1.505,0.0665,0.412,0,0,0,0
33,622,1.685,0.188,0.564,0,0,0,0
34,424,0.965,0.1865,0.6,0,0,0,0
35,802,1.775,0.095,0.484,0,0,0,0
36,667,1.145,0.0545,0.468,0,0,0,0
37,964,1.97,0.122,0.392,0,0,0,0
38,829,1.76,0.125,0.576,0,0,0,0
39,577,1.37,0.164,0.4,0,0,0,0
40,208,1.82,0.113,0.396,0,0,0,0
41,748,0.605,0.17,0.532,0,0,0,0
42,289,0.635,0.1955,0.624,0,0,0,0
43,694,1.235,0.053,0.504,0,0,0,0
44,379,0.83,0.182,0.464,0,0,0,0
45,343,0.995,0.1625,0.568,0,0,0,0
46,433,1.385,0.0845,0.356,0,0,0,0
47,487,1.565,0.116,0.352,0,0,0,0
48,775,1.175,0.1835,0.52,0,0,0,0
49,496,0.8,0.1505,0.32,0,0,0,0
50,361,0.56,0.062,0.572,0,0,0,0
51,325,1.325,0.086,0.408,0,0,0,0
52,469,1.805,0.1025,0.66,0,0,0,0
53,928,1.19,0.173,0.312,0,0,0,0
54,847,1.205,0.068,0.664,0,0,0,0
55,280,1.055,0.071,0.36,0,0,0,0
56,892,1.025,0.0635,0.328,0,0,0,0
57,460,0.575,0.1895,0.612,0,0,0,0
58,136,1.715,0.092,0.516,0,0,0,0
59,316,1.295,0.0695,0.304,0,0,0,0
60,226,1.445,0.1985,0.332,0,0,0,0
61,262,1.73,0.1715,0.44,0,0,0,0
62,568,0.68,0.1145,0.424,0,0,0,0
63,541,0.95,0.176,0.56,0,0,0,0
64,298,1.07,0.1565,0.388,0,0,0,0
65,982,0.92,0.128,0.472,0,0,0,0
66,154,0.665,0.0905,0.448,0,0,0,0
67,235,0.74,0.131,0.416,0,0,0,0
68,685,1.58,0.1445,0.456,0,0,0,0
69,145,0.875,0.1355,0.48,0,0,0,0
70,883,1.7,0.185,0.524,0,0,0,0
71,163,1.46,0.0755,0.528,0,0,0,0
72,406,0.545,0.1295,0.644,0,0,0,0
73,901,1.43,0.179,0.368,0,0,0,0
74,523,0.65,0.149,0.508,0,0,0,0
75,865,1.55,0.0515,0.68,0,0,0,0
76,532,1.88,0.1685,0.512,0,0,0,0
77,649,1.91,0.134,0.552,0,0,0,0
78,739,1.61,0.1925,0.596,0,0,0,0
79,595,0.695,0.089,0.58,0,0,0,0
80,874,0.725,0.0605,0.616,0,0,0,0
81,505,1.085,0.158,0.404,0,0,0,0
82,937,1.22,0.0725,0.344,0,0,0,0
83,991,1.415,0.197,0.436,0,0,0,0
84,334,1.535,0.0935,0.684,0,0,0,0
85,838,1.13,0.056,0.548,0,0,0,0
86,640,0.815,0.098,0.64,0,0,0,0
87,757,1.955,0.0575,0.688,0,0,0,0
88,811,1.64,0.1085,0.676,0,0,0,0
89,352,1.25,0.1175,0.336,0,0,0,0
90,955,1.31,0.1325,0.608,0,0,0,0
91,100,1.895,0.1535,0.452,0,0,0,0
92,613,0.905,0.191,0.324,0,0,0,0
93,721,1.355,0.155,0.34,0,0,0,0
94,514,0.53,0.1235,0.46,0,0,0,0
95,172,1.475,0.161,0.308,0,0,0,0
96,631,1.265,0.1205,0.544,0,0,0,0
97,604,1.745,0.1385,0.38,0,0,0,0
98,766,1.16,0.107,0.692,0,0,0,0
99,127,1.67,0.137,0.628,0,0,0,0
