sample,nr,dr,df,rf,avg_prey,std_prey,avg_predators,std_predators
0,361,1.235,0.1535,0.6,0,0,324.7,50.7703
1,748,1.85,0.1415,0.604,48.5,4.94975,357.3,77.6403
2,370,1.43,0.1265,0.692,9.1,3.25269,306,46.1034
3,676,1.52,0.0815,0.684,69.9,37.1938,163.2,42.7092
4,775,1.445,0.1925,0.436,19.6,4.24264,567.4,120.208
5,478,1.505,0.0965,0.368,8.2,5.09117,403.9,47.659
6,658,1.145,0.1685,0.416,0,0,592.2,93.0553
7,640,0.74,0.161,0.304,1.3,1.83848,570.7,98.005
8,865,1.76,0.128,0.4,23.4,16.122,562.1,194.737
9,901,1.4,0.062,0.696,23.7,6.08112,152.3,70.8521
10,127,1.91,0.149,0.448,0,0,177,31.1127
11,118,1.745,0.086,0.62,0,0,106.2,16.6877
12,514,0.755,0.089,0.52,51.8,4.52548,190.6,94.1866
13,406,0.92,0.1325,0.312,0,0,365.4,57.4171
14,613,0.89,0.065,0.66,58.3,25.0316,73,10.748
15,154,1.295,0.0695,0.344,0,0,138.6,21.7789
16,217,1.1,0.0605,0.452,11,8.76812,176.7,16.5463
17,739,0.605,0.056,0.484,102.5,40.0222,172.7,88.954
18,289,1.175,0.17,0.528,0,0,260.1,40.8708
19,334,0.53,0.1745,0.672,14.1,6.36396,279.2,53.4573
20,955,1.685,0.167,0.628,44,7.35391,453.1,114.976
21,802,1.16,0.0575,0.472,70.5,1.27279,158.4,94.7523
22,100,1.07,0.0935,0.568,0,0,95.6,22.0617
23,532,1.19,0.191,0.34,0,0,478.8,75.2362
24,469,0.71,0.155,0.464,11.5,10.0409,393.9,43.1335
25,271,1.565,0.095,0.64,8.1,9.47523,225.9,15.4149
26,766,1.67,0.1295,0.524,61.4,0,341.5,147.502
27,685,1.79,0.077,0.624,49.6,12.1622,289,245.507
28,235,0.905,0.1055,0.644,0.7,0.989949,210.3,34.9311
29,604,1.355,0.119,0.308,0.3,0.424264,543,86.267
30,190,1.115,0.1715,0.588,0,0,182.1,22.7688
31,325,1.805,0.137,0.324,0,0,292.7,46.2448
32,505,0.62,0.0785,0.364,84.7,30.6884,225.3,27.86
33,703,1.94,0.098,0.404,48.6,9.61665,391.1,50.4874
34,460,0.665,0.1655,0.504,8.1,0.989949,381.2,76.3675
35,253,1.325,0.0845,0.432,0.4,0.565685,226.9,36.911
