sample,nr,dr,df,rf,avg_prey,std_prey,avg_predators,std_predators
36,829,0.68,0.1835,0.668,68.2,40.4465,377.4,27.7186
37,793,1.925,0.1895,0.564,28.7,10.8894,546.4,120.491
38,784,1.7,0.125,0.636,64.3,1.27279,287.6,70.4278
39,946,1.475,0.1445,0.392,36.8,14.7078,570,142.836
40,172,1.46,0.1085,0.584,0,0,154.8,24.3245
41,721,1.13,0.185,0.552,17.7,8.6267,536.1,128.835
42,280,1.31,0.143,0.612,0,0,252,39.598
43,973,1.265,0.1115,0.5,60.2,2.82843,312.5,141.563
44,379,1.625,0.188,0.548,0,0,341.1,53.5987
45,595,0.98,0.092,0.408,41.6,12.1622,344,29.9813
46,847,0.5,0.083,0.376,134.6,24.3245,169.5,1.55563
47,163,1.97,0.0725,0.412,0.2,0.282843,146.3,23.6174
48,199,0.575,0.197,0.648,0,0,179.1,28.1428
49,136,0.875,0.1355,0.488,0,0,150.6,26.5872
50,487,0.725,0.08,0.664,59,28.0014,222.6,75.8018
51,910,0.65,0.1985,0.516,53.9,31.2541,478.5,0.141421
52,343,0.695,0.116,0.652,23.1,19.0919,257,18.1019
53,226,1.34,0.0665,0.468,9.9,5.51543,186.4,26.5872
54,991,0.635,0.104,0.456,120.3,36.911,178.4,14.9907
55,559,1.73,0.179,0.688,11.9,16.8291,435.3,16.8291
56,415,1.655,0.0755,0.48,33.1,12.8693,266.4,15.5563
57,937,1.415,0.14,0.36,40.4,22.0617,539.2,6.78823
58,442,0.845,0.194,0.592,1,1.41421,392.5,70.0036
59,316,1.49,0.1235,0.424,0,0,284.4,44.6891
60,820,0.8,0.173,0.384,22.8,23.7588,620,11.0309
61,964,1.715,0.053,0.332,91,8.76812,185.5,55.5786
62,694,0.83,0.113,0.372,39.6,2.26274,419.3,54.4472
63,577,1.955,0.182,0.56,7.3,2.96985,482.8,95.0352
64,667,1.55,0.164,0.396,0,0,600.1,94.0452
65,838,1.82,0.176,0.58,27.9,22.7688,607,66.7509
66,856,0.515,0.158,0.632,147.1,62.6497,200,88.5298
67,262,1.205,0.1625,0.388,0,0,262.9,55.8614
68,712,1.595,0.0515,0.536,45.4,42.4264,236.2,75.519
69,307,0.965,0.1475,0.572,0,0,276.3,43.4164
70,919,1.895,0.0545,0.428,59.5,48.2247,214,119.36
71,397,1.28,0.1565,0.68,2.1,2.96985,354,51.4774
72,145,1.04,0.101,0.352,0,0,139.6,24.3245
73,811,1.64,0.1595,0.54,15,1.69706,594.8,191.202
74,892,1.985,0.1955,0.576,29,11.0309,574.9,28.4257
75,883,0.56,0.122,0.316,80.8,0.282843,501.5,135.623
76,433,0.59,0.0875,0.38,68.5,12.8693,207.8,11.0309
77,109,1.775,0.0995,0.596,0,0,98.9,16.5463
78,649,1.385,0.1025,0.46,41.9,8.90955,352.7,11.4551
79,388,1.835,0.059,0.496,48.1,4.38406,173.2,5.09117
80,622,0.545,0.1175,0.328,70.3,4.10122,359.2,88.8126
81,982,1.25,0.146,0.476,45.9,16.2635,557.9,209.445
82,874,1.61,0.11,0.32,33.2,2.26274,542,134.067
83,631,0.86,0.131,0.44,19.3,8.90955,473.3,114.41
84,541,1.025,0.1205,0.556,40.2,14.9907,323.9,43.982
85,298,0.995,0.107,0.356,0,0,268.2,42.1436
86,730,0.77,0.1145,0.676,93.9,23.9002,293.8,2.54558
87,757,0.785,0.1385,0.512,58.3,38.0423,423.9,83.0143
88,352,1.88,0.152,0.444,0,0,316.8,49.7803
89,208,1.055,0.0905,0.508,0,0,187.2,29.4156
90,181,1.535,0.0635,0.656,16,1.41421,137.3,28.7085
91,550,1.865,0.1775,0.492,0,0,495,77.7817
92,523,1.01,0.071,0.616,70.9,15.6978,163.4,26.0215
93,424,0.935,0.074,0.348,20.9,0.424264,308.8,72.6906
94,244,0.815,0.05,0.544,42.6,7.35391,122.3,21.6375
95,496,1.37,0.134,0.532,13.4,1.69706,407.1,73.9634
96,568,1.085,0.068,0.336,42,7.9196,319.6,109.743
97,586,1.58,0.1865,0.3,0,0,527.4,82.8729
98,928,1.22,0.1505,0.42,41.6,3.39411,527.4,82.3072
99,451,0.95,0.1805,0.608,1.4,1.9799,402.5,58.9727
