sample,nr,dr,df,rf,avg_prey,std_prey,avg_predators,std_predators
0,784,1.985,0.09575,0.308,38.5,4.94975,545.3,26.4458
1,676,0.9125,0.13925,0.3,1.8,2.54558,668.2,11.0309
2,487,1.3025,0.08975,0.492,1.23211e+08,1.74247e+08,298.8,13.2936
3,541,0.8375,0.07625,0.43,62.6,16.122,290.3,81.0344
4,208,0.545,0.09275,0.456,0,0,187.2,29.4156
5,775,0.83,0.17525,0.638,10.2,10.1823,694.7,9.47523
6,316,1.955,0.12425,0.668,0,0,284.4,44.6891
7,716.5,1.865,0.07175,0.636,70,10.1823,210.1,17.3948
8,118,0.515,0.1775,0.316,0,0,276.7,38.0423
9,500.5,0.9425,0.14075,0.594,21.4,13.0108,421.1,39.4566
10,788.5,1.445,0.128,0.458,40.8,24.0416,507.4,168.291
11,307,0.9725,0.16625,0.632,0,0,307,0
12,698.5,0.6875,0.10175,0.462,68.9,21.9203,262.8,26.8701
13,518.5,1.0175,0.056,0.422,61.1,15.4149,213.4,40.7294
14,491.5,1.1525,0.06875,0.504,36.4,18.9505,275.2,126.148
15,424,1.1075,0.16475,0.514,0,0,424,0
16,901,1.2575,0.13625,0.376,25.5,0.707107,618.5,85.2771
17,797.5,1.145,0.0965,0.542,49.6,9.33381,514.5,2.96985
18,176.5,0.9875,0.098,0.4,0,0,170.5,15.9806
19,370,1.58,0.143,0.572,0,0,370,0
20,680.5,1.6925,0.146,0.472,4.7,6.6468,571.3,37.4767
21,662.5,1.64,0.10325,0.552,58,6.50538,300.8,0.282843
22,964,1.91,0.1685,0.666,36.7,3.81838,524.3,58.9727
23,752.5,1.49,0.1565,0.65,17.7,25.0316,647,137.462
24,622,0.8,0.197,0.302,0,0,559.8,87.9641
25,613,0.995,0.083,0.354,41,0.565685,415.4,17.5362
26,590.5,1.3775,0.17975,0.686,0.3,0.424264,530.8,85.1357
27,842.5,1.85,0.0935,0.464,58.9,16.2635,395,66.7509
28,806.5,1.085,0.1205,0.536,43.2,23.4759,401.2,19.5161
29,419.5,1.385,0.1055,0.332,0.7,0.989949,417.3,3.81838
30,910,1.2125,0.0605,0.522,78.7,13.7179,105.5,34.0825
31,163,1.475,0.05675,0.352,0,0,163,0
32,982,1.895,0.09425,0.58,65.1,25.3144,334.6,91.0754
33,154,1.9175,0.10925,0.486,0,0,154,0
34,289,1.6775,0.16925,0.484,0,0,260.1,40.8708
35,725.5,1.715,0.1475,0.404,12.4,3.11127,664.3,3.53553
36,235,1.76,0.13025,0.346,0,0,222.6,35.6382
37,532,1.67,0.119,0.582,28.3,14.2836,393.9,114.693
38,631,0.86,0.116,0.516,32.1,15.4149,384.7,204.92
39,293.5,1.4525,0.1595,0.368,0,0,296.1,2.68701
40,437.5,1.2725,0.062,0.372,37.9,4.10122,311.3,9.75807
41,748,0.5675,0.1355,0.396,83.3,12.0208,394.8,49.4975
42,820,1.0025,0.1955,0.624,9,5.65685,634.7,97.7222
43,847,1.235,0.188,0.526,19.2,4.52548,720.4,56.8514
44,919,1.1,0.12125,0.52,39.4,12.7279,559,279.731
45,271,1.6625,0.1505,0.364,0,0,275.6,0.848528
46,505,1.5425,0.14525,0.692,25.4,15.8392,324.5,41.4365
47,667,1.8425,0.1415,0.564,27.5,38.8909,513.3,217.365
48,941.5,0.605,0.107,0.336,94.8,13.5765,320.8,97.5807
49,878.5,1.5125,0.191,0.334,2.3,3.25269,861.2,25.173
50,509.5,1.4075,0.16175,0.5,0,0,459,72.1249
51,149.5,0.71,0.0995,0.602,0,0,150,0
52,793,1.175,0.176,0.68,28.6,23.4759,553.6,9.05097
53,937,1.5575,0.12575,0.488,65.3,32.1026,510.2,119.36
54,554.5,0.62,0.104,0.562,88.7,34.3654,248.5,31.2541
55,851.5,1.0775,0.17075,0.452,15.9,3.53553,739.5,69.7207
56,617.5,1.34,0.0785,0.652,41.5,3.81838,348.7,141.846
57,815.5,0.6125,0.09125,0.554,132.3,11.1723,267.6,17.5362
58,757,1.505,0.1865,0.644,19.8,10.1823,561.1,35.2139
59,865,1.775,0.14375,0.566,50.8,1.9799,508.4,18.9505
60,113.5,1.655,0.18425,0.676,0,0,148.4,26.5872
61,712,0.725,0.12725,0.454,71,30.547,394.7,42.5678
62,595,1.0625,0.13775,0.612,35.7,1.83848,370.3,99.1364
63,608.5,1.37,0.053,0.44,62.3,2.40416,245.4,32.8098
64,361,1.9025,0.101,0.548,11.5,0.707107,294.9,55.2958
65,109,1.2425,0.07025,0.394,0,0,111.2,3.11127
66,455.5,1.04,0.11975,0.674,25.3,5.51543,305.6,51.7602
67,397,1.115,0.11525,0.438,0,0,397,0
68,644.5,0.8675,0.15125,0.49,33.6,10.4652,440.3,25.3144
69,527.5,0.5975,0.11,0.568,102.9,51.0531,286.3,45.9619
70,392.5,0.65,0.149,0.358,0,0,353.7,55.5786
71,244,0.755,0.1625,0.382,0,0,260.2,8.76812
72,955,1.835,0.18275,0.356,9,3.67696,775.4,134.067
73,320.5,1.4225,0.1325,0.66,0,0,321,0
