sample,nr,dr,df,rf,avg_prey,std_prey,avg_predators,std_predators
0,397,0.89,0.05375,0.4,68.2,2.54558,166.3,32.1026
1,113.5,0.7175,0.06875,0.48,0,0,114,0
2,401.5,1.745,0.176,0.632,0,0,402,0
3,487,0.725,0.1655,0.338,0,0,487,0
4,950.5,0.755,0.1385,0.542,47.8,2.82843,457.8,53.4573
5,743.5,1.9475,0.068,0.636,44.2,31.6784,278.3,189.646
6,514,0.8375,0.0515,0.498,60.9,22.7688,125.2,24.0416
7,365.5,1.115,0.0545,0.494,53.6,14.9907,191.4,1.13137
8,838,1.76,0.12275,0.6,34.2,15.2735,479.4,49.7803
9,991,1.685,0.17225,0.368,21.9,4.6669,836.8,44.1235
10,532,0.9125,0.194,0.412,0,0,478.8,75.2362
11,262,1.79,0.19925,0.628,0,0,262.2,0.282843
12,901,0.95,0.1355,0.662,44.4,23.7588,506.4,101.258
13,478,1.8575,0.1775,0.378,0,0,478,0
14,779.5,1.0625,0.16925,0.514,31.7,18.5262,515.9,192.474
15,788.5,0.9725,0.06125,0.354,70.6,24.0416,295.6,95.318
16,716.5,1.58,0.06425,0.334,58.3,15.6978,311.6,101.541
17,725.5,0.9275,0.19625,0.388,0,0,726,0
18,559,1.6325,0.0875,0.67,38.7,0.707107,241.1,17.9605
19,190,1.505,0.11825,0.326,0,0,236.7,10.0409
20,757,0.5975,0.152,0.438,85.7,9.19239,384.7,168.433
21,766,1.2125,0.14375,0.54,29.9,17.3948,593.3,51.6188
22,509.5,1.8125,0.12575,0.534,12.5,0.141421,409.4,44.972
23,136,1.1675,0.188,0.32,0,0,322.8,3.9598
24,622,1.85,0.10475,0.416,51.8,10.748,309.8,24.8902
25,320.5,0.5225,0.062,0.364,73.3,6.36396,181.7,37.4767
26,626.5,0.6275,0.08,0.444,81.3,9.75807,117,30.2642
27,869.5,0.8825,0.1055,0.598,78.4,62.2254,400.6,261.347
28,370,1.055,0.14075,0.318,0,0,370,0
29,977.5,0.635,0.1145,0.502,121.9,29.8399,302.6,60.5283
30,109,1.8725,0.071,0.422,0,0,109,0
31,595,1.4,0.19775,0.468,0,0,595,0
32,577,1.205,0.09575,0.686,43.6,35.0725,288.5,18.2434
33,145,0.86,0.07775,0.522,0,0,145,0
34,379,1.3325,0.17675,0.664,0,0,341.1,53.5987
35,797.5,1.655,0.19025,0.384,0.3,0.424264,791.7,8.90955
36,653.5,0.62,0.13175,0.458,77.6,11.5966,353.6,8.48528
37,424,1.8425,0.167,0.644,0,0,424,0
38,959.5,1.5575,0.11075,0.582,60.5,33.7997,404.6,0.282843
39,257.5,0.6425,0.06575,0.606,46.5,24.4659,152.3,56.9928
40,419.5,0.9425,0.0575,0.516,51.2,12.7279,169.2,31.9612
41,122.5,1.13,0.09725,0.35,0,0,153.1,10.3238
42,356.5,1.325,0.0785,0.666,47,7.63675,141.9,30.6884
43,842.5,1.895,0.0635,0.372,48.9,21.3546,434.6,90.2268
44,500.5,1.025,0.1685,0.646,0,0,450.8,70.9935
45,680.5,1.61,0.095,0.432,63.4,5.09117,349.4,57.9828
46,298,0.575,0.11375,0.574,19.8,4.80833,230.8,44.6891
47,914.5,0.785,0.05825,0.69,0,0,183,0
48,203.5,0.7325,0.13475,0.546,0,0,204,0
49,590.5,0.92,0.1265,0.64,44.1,26.163,424.5,71.1349
50,149.5,0.68,0.17,0.402,0,0,224.6,41.5779
51,604,0.815,0.07025,0.648,42.5,7.77817,345.8,16.9706
52,248.5,1.4225,0.16175,0.696,0,0,224.1,35.2139
53,311.5,1.805,0.1205,0.464,0,0,312,0
54,968.5,1.34,0.1085,0.512,50.7,28.9914,304.6,140.856
55,284.5,1.46,0.1415,0.53,0,0,285,0
56,806.5,0.515,0.05075,0.484,65.7,40.8708,66.1,3.25269
57,730,1.6175,0.1925,0.41,0,0,730,0
58,941.5,1.88,0.05975,0.602,67.4,11.5966,104.2,43.8406
59,433,1.3175,0.113,0.528,11.4,15.8392,386.5,65.1952
60,536.5,1.07,0.16475,0.428,0,0,483.3,75.9433
