sample,nr,dr,df,rf,avg_prey,std_prey,avg_predators,std_predators
0,784,0.635,0.1685,0.436,0,0,0,0
1,856,1.055,0.056,0.588,0,0,0,0
2,748,1.175,0.0875,0.636,0,0,0,0
3,136,0.815,0.0995,0.632,0,0,0,0
4,127,0.965,0.1775,0.62,0,0,0,0
5,649,1.37,0.0725,0.58,0,0,0,0
6,703,1.49,0.1895,0.576,0,0,0,0
7,226,1.475,0.1205,0.404,0,0,0,0
8,577,1.655,0.08,0.444,0,0,0,0
9,343,1.85,0.1565,0.396,0,0,0,0
10,973,1.505,0.1505,0.6,0,0,0,0
11,496,0.98,0.0815,0.572,0,0,0,0
12,919,1.82,0.1595,0.5,0,0,0,0
13,514,0.53,0.131,0.548,0,0,0,0
14,460,1.985,0.1235,0.448,0,0,0,0
15,145,1.085,0.152,0.316,0,0,0,0
16,307,1.43,0.0545,0.624,0,0,0,0
17,370,0.59,0.134,0.372,0,0,0,0
18,199,1.4,0.137,0.344,0,0,0,0
19,730,1.25,0.1055,0.524,0,0,0,0
20,244,1.835,0.182,0.564,0,0,0,0
21,298,1.55,0.1625,0.312,0,0,0,0
22,964,1.295,0.0755,0.696,0,0,0,0
23,802,1.22,0.0635,0.688,0,0,0,0
24,505,1.76,0.179,0.412,0,0,0,0
25,685,1.67,0.1355,0.468,0,0,0,0
26,838,1.46,0.173,0.516,0,0,0,0
27,181,1.04,0.14,0.364,0,0,0,0
28,640,1.745,0.1865,0.492,0,0,0,0
29,865,1.535,0.1805,0.4,0,0,0,0
30,793,1.205,0.089,0.36,0,0,0,0
31,262,0.995,0.0575,0.488,0,0,0,0
32,172,1.91,0.0935,0.616,0,0,0,0
33,379,1.88,0.0965,0.34,0,0,0,0
34,955,0.71,0.188,0.392,0,0,0,0
35,532,0.545,0.1085,0.652,0,0,0,0
36,667,1.16,0.149,0.684,0,0,0,0
37,622,1.61,0.128,0.456,0,0,0,0
38,721,1.115,0.0695,0.68,0,0,0,0
39,559,0.95,0.176,0.472,0,0,0,0
40,190,0.935,0.071,0.308,0,0,0,0
41,163,0.74,0.11,0.46,0,0,0,0
42,217,1.28,0.116,0.3,0,0,0,0
43,910,1.235,0.0605,0.604,0,0,0,0
44,874,1.895,0.1415,0.54,0,0,0,0
45,928,1.445,0.1475,0.328,0,0,0,0
46,892,1.58,0.119,0.496,0,0,0,0
47,271,1.31,0.17,0.508,0,0,0,0
48,388,0.89,0.095,0.612,0,0,0,0
49,316,1.19,0.0905,0.56,0,0,0,0
50,595,0.875,0.143,0.356,0,0,0,0
51,613,0.725,0.1145,0.324,0,0,0,0
52,541,1.355,0.098,0.544,0,0,0,0
53,406,1.415,0.1655,0.584,0,0,0,0
54,415,1.955,0.194,0.66,0,0,0,0
55,118,0.695,0.1985,0.44,0,0,0,0
56,397,1.64,0.122,0.428,0,0,0,0
57,568,0.605,0.0845,0.336,0,0,0,0
58,253,1.73,0.158,0.664,0,0,0,0
59,487,0.905,0.059,0.512,0,0,0,0
60,658,0.83,0.197,0.332,0,0,0,0
61,820,1.97,0.1115,0.48,0,0,0,0
62,766,0.62,0.125,0.424,0,0,0,0
63,811,0.665,0.1955,0.672,0,0,0,0
64,757,0.8,0.164,0.608,0,0,0,0
65,739,1.13,0.113,0.408,0,0,0,0
66,289,0.515,0.068,0.464,0,0,0,0
67,946,1.805,0.0665,0.476,0,0,0,0
68,352,1.385,0.161,0.384,0,0,0,0
69,676,1.325,0.1925,0.648,0,0,0,0
70,631,1.565,0.104,0.628,0,0,0,0
71,208,1.595,0.1295,0.692,0,0,0,0
72,442,0.575,0.191,0.484,0,0,0,0
73,280,1.865,0.155,0.368,0,0,0,0
74,847,1.34,0.1715,0.556,0,0,0,0
75,109,1.1,0.1385,0.432,0,0,0,0
76,712,0.5,0.086,0.38,0,0,0,0
77,604,1.07,0.1835,0.676,0,0,0,0
78,424,0.92,0.185,0.568,0,0,0,0
79,991,1.715,0.053,0.64,0,0,0,0
80,325,1.94,0.062,0.668,0,0,0,0
81,334,1.265,0.167,0.348,0,0,0,0
82,937,1.79,0.1445,0.504,0,0,0,0
83,361,0.845,0.05,0.528,0,0,0,0
84,883,1.7,0.077,0.596,0,0,0,0
85,775,0.77,0.1745,0.52,0,0,0,0
86,523,1.025,0.107,0.592,0,0,0,0
87,154,0.86,0.1175,0.656,0,0,0,0
88,100,1.625,0.1025,0.32,0,0,0,0
89,478,0.56,0.074,0.644,0,0,0,0
90,451,0.755,0.1535,0.536,0,0,0,0
91,433,1.685,0.0515,0.388,0,0,0,0
92,829,1.145,0.0785,0.352,0,0,0,0
93,469,1.01,0.1265,0.452,0,0,0,0
94,550,0.65,0.146,0.552,0,0,0,0
95,982,1.925,0.083,0.532,0,0,0,0
96,694,1.775,0.092,0.376,0,0,0,0
97,586,0.68,0.065,0.416,0,0,0,0
98,235,0.785,0.101,0.304,0,0,0,0
99,901,1.52,0.1325,0.42,0,0,0,0
