sample,nr,dr,df,rf,avg_prey,std_prey,avg_predators,std_predators
0,217,1.025,0.08,0.452,0.1,0.141421,216.9,0.141421
1,568,0.635,0.17,0.328,0.1,0.141421,567.8,0.282843
2,658,1.685,0.083,0.532,67.3,16.8291,247,104.652
3,586,1.355,0.122,0.488,24.5,4.6669,483.5,6.36396
4,640,0.695,0.1355,0.616,82.1,43.982,330.1,89.2369
5,784,0.8,0.104,0.444,63.7,12.5865,309.4,28.2843
6,190,1.25,0.1595,0.44,0,0,216.5,53.8815
7,892,1.295,0.1685,0.536,52.5,20.7889,558.7,157.402
8,388,1.16,0.065,0.64,43.6,6.22254,199.8,8.48528
9,847,0.86,0.176,0.472,37.9,2.40416,596,16.4049
10,523,0.83,0.059,0.348,63.8,13.8593,232.8,20.0818
11,289,0.815,0.1775,0.448,0,0,294.3,4.94975
12,280,1.91,0.185,0.664,0,0,252,39.598
13,946,0.92,0.134,0.304,43.2,7.07107,644.2,9.61665
14,811,1.325,0.14,0.612,47.9,32.6683,341.6,24.0416
15,838,1.775,0.0575,0.368,76.2,14.1421,265,49.7803
16,271,1.145,0.074,0.464,12.1,3.53553,216,26.8701
17,532,1.835,0.1415,0.548,18.1,14.2836,475.3,22.2032
18,622,1.55,0.1985,0.416,0,0,559.8,87.9641
19,613,0.74,0.101,0.356,52.8,5.37401,419.7,20.5061
20,208,1.49,0.0785,0.652,11.4,13.5765,170.5,9.19239
21,766,1.58,0.149,0.468,45,1.69706,517.9,1.27279
22,244,1.01,0.1385,0.596,0,0,219.6,34.5068
23,298,0.935,0.05,0.692,25.2,18.6676,144.8,0.282843
24,559,1.1,0.167,0.336,0,0,503.1,79.0545
25,649,1.67,0.1865,0.52,0.5,0.141421,646.3,0.707107
26,910,0.725,0.0875,0.312,75.1,10.6066,274,47.8004
27,820,0.845,0.0935,0.4,59.3,8.90955,506,42.4264
28,253,1.985,0.0515,0.408,29.6,6.22254,166.7,15.6978
29,694,0.95,0.0545,0.404,88.1,11.1723,162.9,17.6777
30,415,0.545,0.1745,0.54,19.5,16.5463,334.2,76.9332
31,172,1.745,0.194,0.58,0,0,252.3,24.7487
32,406,1.235,0.188,0.412,0,0,365.4,57.4171
33,199,0.785,0.155,0.324,0,0,301.7,15.4149
34,316,1.805,0.077,0.688,23.4,21.2132,204.9,25.0316
35,937,1.565,0.0635,0.36,61.8,17.2534,303.2,42.9921
36,379,1.82,0.0845,0.6,36.3,19.9404,253.1,119.501
37,262,1.055,0.056,0.564,34.4,26.0215,168.6,65.0538
38,730,1.34,0.137,0.3,0.4,0.565685,653.5,98.2878
39,874,1.4,0.1205,0.68,42.1,6.36396,337.3,109.319
40,721,1.205,0.1505,0.376,14.3,16.2635,656.8,72.4077
41,712,1.88,0.068,0.528,77.6,3.67696,168,52.6087
42,334,1.19,0.1115,0.556,2.8,1.69706,291.2,51.4774
43,154,1.43,0.191,0.66,0,0,184.8,14.7078
44,550,0.905,0.0995,0.644,62.4,24.3245,232.9,92.9138
45,469,1.22,0.1805,0.568,0,0,469,0
46,343,1.175,0.095,0.576,21.8,3.39411,257,23.4759
47,361,1.31,0.1715,0.46,0,0,361,0
48,748,1.37,0.1895,0.684,21.4,1.9799,482.9,57.5585
