sample,nr,dr,df,rf,avg_prey,std_prey,avg_predators,std_predators
0,910,0.95,0.14,0.38,53.7,17.3948,591.5,141.846
1,100,1.1,0.17,0.58,0,0,186.5,4.6669
2,820,1.7,0.08,0.62,58.1,32.3855,367.9,238.861
3,370,1.25,0.11,0.34,0,0,370,0
4,280,0.65,0.125,0.54,6.9,9.75807,269.2,15.2735
5,460,1.85,0.185,0.3,0,0,460,0
6,550,1.55,0.155,0.46,0,0,550,0
7,640,0.8,0.065,0.42,83.3,14.0007,234.9,2.68701
8,190,1.4,0.05,0.66,50.1,23.9002,86.3,14.2836
9,730,0.5,0.095,0.5,111.6,9.33381,179,13.5765
